,N_omega_500,N_pr,N_prQ,N_pr_sc,N_pr_scOGS09,N_pr_scOGS09ad,N_pr_scRH,N_pr_scRHad,N_qvstar_s,bias_sc,bias_scOGS09,bias_scOGS09ad,bias_scRH,bias_scRHad,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr,norm_var_pr_I25,norm_var_pr_I75,norm_var_pr_Ibnd,norm_var_pr_scOGS09_I25_prQ,norm_var_pr_scOGS09_I75_prQ,norm_var_pr_scOGS09_prQ,norm_var_pr_scOGS09ad_I25_prQ,norm_var_pr_scOGS09ad_I75_prQ,norm_var_pr_scOGS09ad_prQ,norm_var_pr_scRH_I25_prQ,norm_var_pr_scRH_I75_prQ,norm_var_pr_scRH_prQ,norm_var_pr_scRHad_I25_prQ,norm_var_pr_scRHad_I75_prQ,norm_var_pr_scRHad_prQ,norm_var_pr_sc_I25_prQ,norm_var_pr_sc_I75_prQ,norm_var_pr_sc_prQ,omega_500_prQ,percentiles,percentiles_omega_500,percentiles_pr,percentiles_pr_sc,percentiles_pr_scOGS09,percentiles_qvstar_s,pr_scOGS09_prQ,pr_scOGS09_vQ,pr_scOGS09ad_prQ,pr_scOGS09ad_vQ,pr_scRH_prQ,pr_scRH_vQ,pr_scRHad_prQ,pr_scRHad_vQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_omega_500,ranks_pr,ranks_pr_sc,ranks_pr_scOGS09,ranks_qvstar_s,ranks_ref,ts_prQ,var_omega_500_prQ,var_prQ,var_pr_scOGS09_I25_prQ,var_pr_scOGS09_I75_prQ,var_pr_scOGS09_prQ,var_pr_scOGS09ad_I25_prQ,var_pr_scOGS09ad_I75_prQ,var_pr_scOGS09ad_prQ,var_pr_scRH_I25_prQ,var_pr_scRH_I75_prQ,var_pr_scRH_prQ,var_pr_scRHad_I25_prQ,var_pr_scRHad_I75_prQ,var_pr_scRHad_prQ,var_pr_sc_I25_prQ,var_pr_sc_I75_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ,var_vQ
0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3267301218790108e-17,-0.0016687030535846661,-0.0014680234785235174,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7025240782910762e-06,-0.0435727698677619,1.7025240782910762e-06,-7.036331680673356e-05,-6.96248184760081e-05,0.01512943023719826,,,,,,,,,,,,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,,,,,,,,,,,,,,,,,,,,,
2,945643.0,359109.0,,882250.0,952527.0,951293.0,962642.0,957705.0,862134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.884759646305281e-06,-0.02392150919270152,8.884759646305281e-06,-3.9201754731980735e-05,-3.721104189968355e-05,0.01790671184719341,,,,,,,,,,,,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,,,,,,,,,,,,,,,,,,,,,
3,515711.0,509382.0,,483734.0,514411.0,515431.0,508054.0,513640.0,459334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5642945411150052e-05,-0.009762292153080094,1.5642945411150052e-05,-1.6850226880992976e-05,-1.1857248808555536e-05,0.019307957486683965,,,,,,,,,,,,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,,,,,,,,,,,,,,,,,,,,,
4,397164.0,400218.0,,371453.0,395603.0,395914.0,390726.0,390374.0,378035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4350455666558436e-05,0.002977029130695576,2.4350455666558436e-05,3.788774749003868e-06,1.293176421635705e-05,0.02004841774703428,,,,,,,,,,,,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,,,,,,,,,,,,,,,,,,,,,
5,310883.0,306572.0,,290751.0,309694.0,309034.0,309666.0,309467.0,304273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.843890193477127e-05,0.015580410010360767,3.843890193477127e-05,2.5201386185831203e-05,3.902960280752668e-05,0.020581140314967463,,,,,,,,,,,,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,,,,,,,,,,,,,,,,,,,,,
6,245562.0,233796.0,,229677.0,244125.0,243869.0,245803.0,245037.0,237370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.643646809261934e-05,0.028553176062842887,5.643646809261934e-05,4.8572301456398433e-05,6.601597086147647e-05,0.021111431964955088,,,,,,,,,,,,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,,,,,,,,,,,,,,,,,,,,,
7,194887.0,191933.0,,180551.0,194208.0,193696.0,194486.0,195749.0,187144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.515289066143463e-05,0.04183786438900996,7.515289066143463e-05,7.365902543965422e-05,9.292039659238493e-05,0.02184525961885617,,,,,,,,,,,,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,,,,,,,,,,,,,,,,,,,,,
8,154258.0,155018.0,155018.0,143631.0,154517.0,154969.0,155232.0,154390.0,142205.0,-0.0158901851086363,0.007322967041011613,0.004529242712564302,0.19554939729419007,0.23183729660142874,1.6010011207452473,0.02719200331312343,-0.0007394050441809157,0.2775344353144911,-0.05438400662624686,2.414227025399344,2.091731002841883,0.03237183274398738,0.06771316616941045,0.10750432412869611,-0.6298734714673878,1.6010011207452473,2.091731002841883,0.03163926524205593,8.722784601648996e-08,-1.5244400165791234e-05,-0.004157738027755107,0.026811505368157535,52.2777231363553,48.84754443245126,51.66982015972203,51.66982015972203,1.3796492740975521,1.3760145356993048,1.3816553693508566,1.1344691940435703,1.1361116639555464,1.1298832081370986,1.4081887262908201,1.3907943683234827,1.3963496972265572,48.84754443245126,51.66982015972203,52.2777231363553,2.3353300519899616,2.3320007964178897,2.3265173850315435,-0.026467232880051216,9.339549464534967e-05,0.055090396264972474,9.339549464534967e-05,9.954536021491113e-05,0.00011924580670344599,0.022959770153406618,6.749574060718447e-05,6.700147152330939e-05,7.237048862625613e-05,7.204270511804094e-05,3.4683854995567096e-05,2.7901448055344867e-05,9.6263338005605e-06,7.394590596055596e-06,5.028505959572866e-05,5.1084098500903595e-05,0.021181689493029423,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,303.8251953125,0.001465287722568588,9.6263338005605e-06,6.285233706929342e-09,6.2686750200764985e-09,6.294372824922666e-09,5.941768363615934e-09,5.9503707794527065e-09,5.9177493191869365e-09,1.6940085067015857e-09,1.673083619422523e-09,1.6797665123072868e-09,4.526521325819759e-09,4.788051181931577e-09,4.844383303018339e-09,5.905085720548142e-09,5.896667407461328e-09,5.882802123515783e-09,1.4524074987942856e-05,11.237244606018066,7.394590596055596e-06
9,123189.0,122841.0,122841.0,114763.0,122961.0,123255.0,122704.0,122716.0,112483.0,-0.012229092247699006,-0.004831391278424927,0.0042890445621107,0.137832779216293,0.1577303319813394,0.6377513319627237,0.013680956298954302,-0.00018716856525389738,0.1305413550233061,-0.027361912597908603,1.010692166020653,0.8535707874303456,0.02920260995546016,0.024926494774703382,0.07234842544351378,-0.31795626793518433,0.6377513319627237,0.8535707874303456,0.02978838702404859,1.0082224685835335e-07,-1.2023214169165568e-05,-0.005106819292256994,0.028146713613583303,9.033927201117613,9.027157553994385,8.891582590321423,8.891582590321423,0.7276371540912466,0.732924256838175,0.7341593085586706,0.6671337631171702,0.6540565206981829,0.6534051770833541,0.7938234235234787,0.7804115208008049,0.7790123677081902,9.027157553994385,8.891582590321423,9.033927201117613,0.9764976175354886,0.9799346133386314,0.9736054017053467,-0.04128425853900729,0.0001110720015971982,0.06831476535092477,0.0001110720015971982,0.00012578552500615926,0.0001450611663962513,0.024574096015626806,8.959580337367211e-05,9.002867575667514e-05,9.596419417529823e-05,9.555259947011333e-05,4.813616483377663e-05,4.1501423453923606e-05,2.178905115685673e-05,1.835225688432733e-05,7.911191734631766e-05,8.007938428143812e-05,0.02128725381863192,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,303.83477783203125,0.0014548175170477887,2.178905115685673e-05,5.841040298878238e-09,5.883482029671503e-09,5.893396293711007e-09,6.143719259473043e-09,6.023289278932215e-09,6.0172909731467894e-09,1.8393606060817676e-09,1.8082840155080236e-09,1.8050420513580995e-09,4.285758147871309e-09,4.221392205243925e-09,4.2889721241582025e-09,6.111601211634813e-09,6.133112321685328e-09,6.093499713531402e-09,1.3233080207998702e-05,10.581207275390625,1.835225688432733e-05
