,N_prQ,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr_sc_prQ,omega_500_prQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_ref,ts_prQ,var_omega_500_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ
0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,20.567176527571853,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,36.90426555198067,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,49.88127663727278,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,60.18928294465028,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,68.3772233983162,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,74.8811356849042,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,80.0473768503112,,,,,
8,192.0,0.9461378581876182,-0.0026613212528636444,-7.082630810943717e-06,-0.17752411035801083,0.005322642505727288,1.007479056444749,1.155920545804894,0.011024089532982452,0.012742971589967097,0.02052442602735479,-0.2542590155319612,0.9461378581876182,1.155920545804894,0.023951901887330578,-8.864749089312438e-08,1.8806234778750212e-06,-0.0014277884006903736,0.004485136580107114,1.0128629903148545,-0.02569702437712253,4.223137228494927e-08,4.2344063440917186e-08,0.027499304810355004,84.15106807538886,303.56878662109375,0.0007632971769354776,1.806429804296248e-15,8.336546203836911e-06,6.92857027053833
9,186.0,0.41923721181405826,0.0011132572309175137,-1.2393416621901302e-06,-0.026856153642837607,-0.0022265144618350274,0.4291203474625118,0.4448519646684283,0.009241286005021623,0.00411100423539672,0.006236045496757723,-0.051099581181273106,0.41923721181405826,0.4448519646684283,0.019248782830145365,-3.57068819768428e-08,-1.2836587405190062e-06,-0.0007458012634914808,0.0021993923411689396,0.4281664979182445,-0.04138208236823881,6.917119051200917e-08,6.909427081540896e-08,0.02786388806542122,87.41074588205832,303.90423583984375,0.0007617986427414248,2.0486283743146264e-15,7.174899874536981e-06,5.592750549316406
10,125.0,0.15535783148773358,-0.00039158317376728423,-1.5333738197765914e-07,-0.01638789570637159,0.0007831663475345686,0.17093798460862172,0.17531517898937948,0.009552916967443254,0.0016747713480179944,0.012814462484991677,-0.050286012153384116,0.15535783148773358,0.17531517898937948,0.017514202166746536,-3.769072926827104e-08,5.938540143743155e-07,-0.0012977980246284674,0.006004238304107122,0.17107193616030733,-0.055081072256021914,9.083925402613795e-08,9.087483908404209e-08,0.027532984391550476,90.0,303.6153869628906,0.0005318930204171362,1.4116462829710328e-15,7.241734193370538e-06,5.0694475173950195
11,118.0,0.13000493636173055,-0.005992430129167955,-3.5909218852959875e-05,-0.033030122755462604,0.01198486025833591,0.14032266564338416,0.14662793586138848,0.012886395870753952,0.001889505627221372,0.02280551008475907,-0.0647778482597378,0.13000493636173055,0.14662793586138848,0.025349338675320805,-1.1512635736147746e-07,1.1187557150607457e-05,-0.0026394016790955797,0.013404158821581191,0.1420196515058722,-0.06932329488227883,1.1120132447747328e-07,1.118717078703168e-07,0.02693103794088884,92.05671765275719,303.1143493652344,0.0007046526885807833,1.7561773136127192e-15,9.346255565194268e-06,7.288997173309326
12,79.0,0.13414410663769874,0.005170871438902628,-2.6737911437658932e-05,0.015709100672152938,-0.010341742877805257,0.1163323457919472,0.09568862909907094,0.013966647461285765,0.0013364493486804543,-0.014742204946897425,0.022207641699122826,0.13414410663769874,0.09568862909907094,0.030990040786402388,7.259011966652502e-08,-1.1115444510268328e-05,0.0011756063417768495,-0.009883379405029966,0.11513853411289598,-0.07896169372394317,1.2947650558139695e-07,1.288104433389034e-07,0.027223667974400866,93.69042655519807,303.3258972167969,0.0005966137295614012,1.930201441016142e-15,1.035107486814577e-05,8.935837745666504
13,65.0,0.10572992722245389,-0.014100442215152617,-0.00019882247066285803,-0.06124170963049712,0.02820088443030523,0.10929073253804895,0.118878754886177,0.021138684794433135,0.002512940528293573,0.044896846634613866,-0.10929901214555447,0.10572992722245389,0.118878754886177,0.05125333784721751,-3.6029308990374364e-07,3.4200861555865724e-05,-0.007891352337867445,0.03504971790652843,0.11243926376879944,-0.0924839797183315,1.4329299678870438e-07,1.453423887425814e-07,0.02622634703423281,94.98812766372727,302.44561767578125,0.0010168040498445457,2.308702239552589e-15,1.4539637206611824e-05,14.607856750488281
14,56.0,0.05876091857335145,-0.009699792080161621,-9.408596639836615e-05,-0.04859846570665597,0.019399584160323245,0.06327201987537498,0.08221697573691492,0.009561864102293236,0.000786147548897921,0.02170806923208185,-0.0578503911059303,0.05876091857335145,0.08221697573691492,0.012686264710284985,-3.9740717414020325e-07,2.7737607428011223e-05,-0.005543652943389301,0.019583485574412796,0.06451756358259525,-0.10622358140687663,1.6969202125327834e-07,1.7135412059513003e-07,0.02692065561582317,96.01892829446503,303.3682556152344,0.0009276910729613633,1.8578078940394594e-15,6.929690395772449e-06,3.6600706577301025
15,38.0,0.11212919283763148,-0.009048809392470738,-8.188095142126664e-05,-0.03780360299365629,0.018097618784941476,0.10551732984075624,0.10199523370827496,0.021152506453388224,0.0021574548392291264,0.019908351611945135,-0.04149397952083917,0.11212919283763148,0.10199523370827496,0.031719587038250556,-3.429316488219699e-07,2.7253898058431244e-05,-0.00478899847445409,0.01964159730316159,0.10745317812727573,-0.11698174896129804,1.7884525861904389e-07,1.8047837301592826e-07,0.025746552040816054,96.83772233983163,302.3137512207031,0.0013957771927710992,3.4369572250956966e-15,1.402167801330686e-05,9.024731636047363
16,36.0,0.0652964039081883,-0.00838312642363831,-7.027680863470283e-05,-0.03174391691626102,0.01676625284727662,0.06582192226975567,0.06524188454670747,0.014670826248366565,0.0009571523523007367,0.01929078294292143,-0.03955397794085613,0.0652964039081883,0.06524188454670747,0.020317714359415543,-3.2105979025367363e-07,2.6660526246336193e-05,-0.004785913885611666,0.01954109792757765,0.06693954328040289,-0.11944709891891901,1.8897075159316653e-07,1.9056830982678349e-07,0.026624845460927637,97.48811356849042,303.1502685546875,0.0009308457278515204,2.3904074060358436e-15,1.0399890459575785e-05,5.844964027404785
