,N_prQ,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr_sc_prQ,omega_500_prQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_ref,ts_prQ,var_omega_500_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ
0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,20.567176527571853,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,36.90426555198067,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,49.88127663727278,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,60.18928294465028,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,68.3772233983162,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,74.8811356849042,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,80.0473768503112,,,,,
8,4042.0,0.5293796925738976,-0.028076340930346475,-0.0007882809200370488,-0.18841858120288657,0.05615268186069295,0.6152120515793579,0.7242837112620182,0.013908685921539753,0.010073834658030597,0.08013492420504245,-0.291767218197282,0.5293796925738976,0.7242837112620182,0.016728275304118995,-1.0001197849345369e-07,2.0455243428238423e-05,-0.002622802057764568,0.021890140121006277,0.6512691795566227,-0.03290806223617563,4.308424907834174e-08,4.432884072354295e-08,0.022139195474546652,84.15106807538886,299.92205810546875,0.0007843562079743742,1.2089200548675772e-15,6.8172586221375785e-06,4.610626697540283
9,3223.0,0.31968305165301825,-0.020359553665389326,-0.000414511425453868,-0.11900207077408763,0.04071910733077865,0.37315597420603275,0.4345415389848543,0.012067904357926025,0.005244005732015204,0.060309870505684066,-0.190422605778675,0.31968305165301825,0.4345415389848543,0.015254247941154883,-1.0271645187850577e-07,1.891520263455401e-05,-0.002764496002516633,0.020942702212310798,0.3888275098681418,-0.04180739820219749,5.537728783288248e-08,5.652817627128428e-08,0.022222330601104057,87.41074588205832,300.0141906738281,0.0007595171418275274,1.1923955531761256e-15,5.959517071482125e-06,4.2095255851745605
10,2587.0,0.18640936097549576,-0.018944776131133066,-0.0003589045426587491,-0.09589388732654637,0.037889552262266125,0.22450244511653236,0.26800039970736933,0.011723407200449355,0.003141877815652679,0.053825479202247395,-0.15117322827904764,0.18640936097549576,0.26800039970736933,0.015756710344926678,-1.3325112846195241e-07,2.2332094825624802e-05,-0.0035422236310387796,0.02374226958979629,0.23325672093829833,-0.05312106354405756,7.036483431034049e-08,7.172362227770555e-08,0.022190813534183857,90.0,299.97149658203125,0.0007562562289830804,1.15490298770572e-15,5.772983261451718e-06,4.345709323883057
11,1997.0,0.1253263981329522,-0.013841131946033657,-0.00019157693354751346,-0.06766611337183284,0.027682263892067314,0.15031408419209397,0.17883577177019433,0.009885803531150799,0.0017679353040618649,0.03941312695651699,-0.1065874543977293,0.1253263981329522,0.17883577177019433,0.013664953803970193,-1.2822412204075228e-07,1.9053328699384e-05,-0.003383498935476051,0.020239493265426754,0.15456313083727002,-0.061816044425732596,8.259777805059193e-08,8.375707071781041e-08,0.022268862805601763,92.05671765275719,300.037109375,0.000683371426625295,1.0544904124376711e-15,4.902392220627996e-06,3.7721002101898193
12,1628.0,0.10324039886519956,-0.011548527396001219,-0.0001333684850161907,-0.05593669363467936,0.023097054792002438,0.12367579282859166,0.14631000499679608,0.009019196477760456,0.0013195986817282179,0.03273874746960079,-0.0882804675328686,0.10324039886519956,0.14631000499679608,0.012472113931671297,-1.331668981970361e-07,1.7818713905337398e-05,-0.0034745144843446427,0.018730548375573332,0.12658259585165302,-0.06879249636144305,9.279558795976854e-08,9.387976095104169e-08,0.0224289362451433,93.69042655519807,300.20635986328125,0.0006923985731124403,1.090005409442148e-15,4.537171555787333e-06,3.45060133934021
13,1272.0,0.08229783312823505,-0.008731273812611441,-7.623514239079432e-05,-0.040095381676950134,0.017462547625222882,0.09318602127185542,0.10722075243535616,0.00783433476254659,0.0008400032680707128,0.024257622099855495,-0.06036924581567917,0.08229783312823505,0.10722075243535616,0.011188704408702566,-1.1641030134140347e-07,1.487736912979208e-05,-0.0029395608629835725,0.015430266242105835,0.09483484960128578,-0.0765493509385843,1.0276900802823782e-07,1.0367421599540147e-07,0.022259070144932808,94.98812766372727,300.0806884765625,0.0006282925006271439,1.0015953252370685e-15,3.88164810344739e-06,3.090346336364746
14,989.0,0.05894786654809604,-0.010709841064047586,-0.00011470069561715994,-0.05036054399219102,0.021419682128095172,0.07183877422347726,0.09178193549192852,0.008346356534243203,0.0007660447570185456,0.027476834720231776,-0.07220164939557694,0.05894786654809604,0.09178193549192852,0.011890745731512685,-1.7896586466058734e-07,2.0189377151957894e-05,-0.004289947174741995,0.019308046550700213,0.0734026155856243,-0.08455381156499209,1.1347124323046875e-07,1.1469965834140579e-07,0.022294960406238316,96.01892829446503,300.099609375,0.0006561809097679462,9.451117487117726e-16,4.148683876704441e-06,3.2850801944732666
15,792.0,0.06213324685448061,-0.00774799080172696,-6.003136146364557e-05,-0.03633201207443804,0.01549598160345392,0.07242058329178343,0.08485600397430702,0.00779886097226646,0.0006617801776577105,0.021139710646302753,-0.054851332357101816,0.06213324685448061,0.08485600397430702,0.010988864590972645,-1.4671710280865198e-07,1.556986126394543e-05,-0.003688023457321094,0.015804299552587556,0.07355598989175285,-0.08993531898453673,1.2132208417561515e-07,1.2226942656799645e-07,0.022344228654058718,96.83772233983163,300.1367492675781,0.0006863460441473916,1.082674153900868e-15,3.893694846156353e-06,3.037418842315674
16,679.0,0.044832352888951946,-0.008991298830386641,-8.084345465731218e-05,-0.041056581020293956,0.017982597660773283,0.053237310740821164,0.06786724922928405,0.00798309746072631,0.000541790864988777,0.022914247640801053,-0.0578380663277161,0.044832352888951946,0.06786724922928405,0.011888922346582943,-1.997708360928775e-07,1.983339608796834e-05,-0.0047533362739083625,0.018933748575243485,0.05420772409361807,-0.09946121749363475,1.330069546833703e-07,1.3421371025944796e-07,0.022177923555138028,97.48811356849042,300.0439147949219,0.0006713790559171616,9.589807154641495e-16,3.92656865781709e-06,3.2821388244628906
