,N_omega_500,N_pr,N_prQ,N_pr_sc,N_pr_scOGS09,N_pr_scOGS09ad,N_pr_scRH,N_pr_scRHad,N_qvstar_s,bias_sc,bias_scOGS09,bias_scOGS09ad,bias_scRH,bias_scRHad,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr,norm_var_pr_I25,norm_var_pr_I75,norm_var_pr_Ibnd,norm_var_pr_scOGS09_I25_prQ,norm_var_pr_scOGS09_I75_prQ,norm_var_pr_scOGS09_prQ,norm_var_pr_scOGS09ad_I25_prQ,norm_var_pr_scOGS09ad_I75_prQ,norm_var_pr_scOGS09ad_prQ,norm_var_pr_scRH_I25_prQ,norm_var_pr_scRH_I75_prQ,norm_var_pr_scRH_prQ,norm_var_pr_scRHad_I25_prQ,norm_var_pr_scRHad_I75_prQ,norm_var_pr_scRHad_prQ,norm_var_pr_sc_I25_prQ,norm_var_pr_sc_I75_prQ,norm_var_pr_sc_prQ,omega_500_prQ,percentiles,percentiles_omega_500,percentiles_pr,percentiles_pr_sc,percentiles_pr_scOGS09,percentiles_qvstar_s,pr_scOGS09_prQ,pr_scOGS09_vQ,pr_scOGS09ad_prQ,pr_scOGS09ad_vQ,pr_scRH_prQ,pr_scRH_vQ,pr_scRHad_prQ,pr_scRHad_vQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_omega_500,ranks_pr,ranks_pr_sc,ranks_pr_scOGS09,ranks_qvstar_s,ranks_ref,ts_prQ,var_omega_500_prQ,var_prQ,var_pr_scOGS09_I25_prQ,var_pr_scOGS09_I75_prQ,var_pr_scOGS09_prQ,var_pr_scOGS09ad_I25_prQ,var_pr_scOGS09ad_I75_prQ,var_pr_scOGS09ad_prQ,var_pr_scRH_I25_prQ,var_pr_scRH_I75_prQ,var_pr_scRH_prQ,var_pr_scRHad_I25_prQ,var_pr_scRHad_I75_prQ,var_pr_scRHad_prQ,var_pr_sc_I25_prQ,var_pr_sc_I75_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ,var_vQ
0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.0002801527529791175,-0.00017846893617499293,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.17727517157404e-06,-0.032778803508366386,8.17727517157404e-06,-4.113798017523967e-05,-4.234151693625098e-05,0.012203004423261518,,,,,,,,,,,,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,,,,,,,,,,,,,,,,,,,,,
2,6189.0,3612.0,,5919.0,6171.0,6195.0,6189.0,6241.0,4858.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7281614442739574e-05,-0.02013554697413703,1.7281614442739574e-05,-2.6094354289193558e-05,-2.2335101138403197e-05,0.014092640743140412,,,,,,,,,,,,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,,,,,,,,,,,,,,,,,,,,,
3,3365.0,3269.0,,3175.0,3245.0,3244.0,3233.0,3271.0,3066.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.852812350014797e-05,-0.00861158242482014,2.852812350014797e-05,-1.1873290577302e-05,-2.9770774799233464e-06,0.014976753835557802,,,,,,,,,,,,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,,,,,,,,,,,,,,,,,,,,,
4,2537.0,2508.0,,2394.0,2548.0,2499.0,2544.0,2490.0,2524.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1516151352783524e-05,0.003866957774613821,4.1516151352783524e-05,4.528488424663302e-06,1.6392153602010348e-05,0.015563706715500374,,,,,,,,,,,,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,,,,,,,,,,,,,,,,,,,,,
5,1991.0,1945.0,,1857.0,1962.0,2029.0,1963.0,2049.0,1953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.365579406208046e-05,0.016135766903753162,5.365579406208046e-05,2.1483043959524793e-05,3.3950439882711696e-05,0.016038905003877172,,,,,,,,,,,,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,,,,,,,,,,,,,,,,,,,,,
6,1562.0,1639.0,,1517.0,1594.0,1607.0,1593.0,1602.0,1554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.526799519243382e-05,0.02767963934696127,6.526799519243382e-05,3.855993854200506e-05,5.029206909247219e-05,0.016576383813790053,,,,,,,,,,,,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,,,,,,,,,,,,,,,,,,,,,
7,1247.0,1233.0,,1163.0,1264.0,1237.0,1269.0,1222.0,1244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.601172182260694e-05,0.03807804085887054,7.601172182260694e-05,5.432029551019304e-05,6.45164878121479e-05,0.01710845009453625,,,,,,,,,,,,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,,,,,,,,,,,,,,,,,,,,,
8,1048.0,987.0,987.0,975.0,1024.0,1024.0,1022.0,1048.0,939.0,-0.004938692277986724,0.016956787897161586,0.010960010929439531,0.01801525153360552,0.022088002236793396,0.4087042495758706,0.02687742699224649,-0.00072239608172354,0.07396482721934466,-0.05375485398449297,0.5849845053881917,0.5256589129920656,0.02611200636246351,0.013726008880534464,0.04853007354421789,-0.1743919610700751,0.4087042495758706,0.5256589129920656,0.00890722410966219,2.1587949538165988e-08,-1.4520473027343334e-05,-0.0017437756241505914,0.014701141458609169,0.26848266565790213,0.26092499630855304,0.3015370868116693,0.3015370868116693,0.3637012064045702,0.3586368258552529,0.34409001343381246,0.27632798807834774,0.27148924771566074,0.28611761979380196,0.29682380843868783,0.36867398866389667,0.34469475262437743,0.26092499630855304,0.3015370868116693,0.26848266565790213,0.5567574179879164,0.5532615204533736,0.5802697900496803,-0.03300836659528812,8.558554918918457e-05,0.04782328733536192,8.558554918918457e-05,6.880903687590895e-05,7.69649841307194e-05,0.01778886748860071,5.656096924894967e-05,5.560187689013735e-05,5.89456825434771e-05,5.829963721855732e-05,5.774286897938809e-05,5.670261667045239e-05,5.5255822793813055e-05,5.403533205634745e-05,4.8424763927366375e-05,4.866391893503779e-05,0.016366998385944475,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,299.8392333984375,0.000572732859419823,5.5255822793813055e-05,1.1635322567148635e-09,1.1473305779036711e-09,1.1007932412474413e-09,9.60127428624515e-10,9.43314772858024e-10,9.94142419257585e-10,9.896814938765764e-10,1.2292471610466823e-09,1.1492946590205097e-09,7.966577519169571e-10,9.206548283894655e-10,8.197328729623331e-10,1.3055726285395717e-09,1.2973748964828125e-09,1.360708147895227e-09,6.99484865192182e-06,3.0007824897766113,5.403533205634745e-05
9,795.0,815.0,815.0,779.0,821.0,830.0,816.0,785.0,797.0,-0.012110135281291186,0.00013559297845070866,0.006330414515448896,0.0009001311448900263,0.016349355992685433,0.20816953001089597,0.020113555918557992,-0.0004045551316889592,0.0943826699827472,-0.040227111837115984,0.34403260038171496,0.26420974881264153,0.020623040266552355,0.005448808288578788,0.0391375694652832,-0.10402811615526514,0.20816953001089597,0.26420974881264153,0.008850327888236377,4.61691436684252e-08,-1.4067555509300907e-05,-0.0017463253682786651,0.01536551964834689,0.15315032447413057,0.15520340593805634,0.1456056163591096,0.1456056163591096,0.18831410420958503,0.13426558505472622,0.18075403935653409,0.16121239871689264,0.17456458078262277,0.1596504691181424,0.15656996975271628,0.17351912634453048,0.18121836871897018,0.15520340593805634,0.1456056163591096,0.15315032447413057,0.3364084110455423,0.32918354716917697,0.33538892436176865,-0.04275835888500248,9.402376690720181e-05,0.05701135766322739,9.402376690720181e-05,8.275774185549249e-05,8.951341098803546e-05,0.018923651940943906,6.7249279094573e-05,6.724016056452191e-05,7.052141102966301e-05,7.007498126563089e-05,6.86659380128527e-05,6.860412966345425e-05,6.659760928569572e-05,6.550878126322211e-05,6.224665420418164e-05,6.300046960740204e-05,0.016357192026629056,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,299.9139099121094,0.0004830486741815279,6.659760928569572e-05,8.516440467464989e-10,6.072114814487334e-10,8.174539139779383e-10,8.017526916341759e-10,8.68156690306686e-10,7.939847949344919e-10,7.382291364151877e-10,8.181445969182623e-10,8.544466097379028e-10,6.883645966689197e-10,6.457960814195721e-10,6.792586844287737e-10,1.3034634906381006e-09,1.2754697010107736e-09,1.2995133406779357e-09,5.517853859958245e-06,2.984586000442505,6.550878126322211e-05
