,N_prQ,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr_sc_prQ,omega_500_prQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_ref,ts_prQ,var_omega_500_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ
0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,20.567176527571853,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,36.90426555198067,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,49.88127663727278,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,60.18928294465028,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,68.3772233983162,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,74.8811356849042,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,80.0473768503112,,,,,
8,314.0,0.22904013184360472,-0.01890660829929478,-0.00035745983738296215,-0.10141240681743079,0.03781321659858956,0.2756377578395421,0.32974987782089465,0.007403294588756934,0.0024412354861146897,0.058991256741416975,-0.1710577153961191,0.22904013184360472,0.32974987782089465,0.011356712677412195,-4.006647900388006e-08,1.188389131194367e-05,-0.0011525330122904374,0.01395154781386415,0.2863637279799929,-0.02848891851497694,4.564545820243077e-08,4.652508985235881e-08,0.02206322944362489,84.15106807538886,299.9339294433594,0.00026763109400813087,5.966410764930386e-16,3.6038208517576867e-06,3.1306188106536865
9,225.0,0.17291557898340465,-0.012153538574487689,-0.00014770849988156022,-0.07558817082996735,0.024307077148975377,0.19959508852791333,0.2429372953153087,0.006506036486278875,0.001580558907199304,0.038115444361705636,-0.11750271163524457,0.17291557898340465,0.2429372953153087,0.009365550941634899,-3.9907425163935744e-08,8.830853493464976e-06,-0.0010615639687693943,0.010438082475548166,0.20453656274959936,-0.03298971347648279,5.312899008555227e-08,5.378263946897623e-08,0.022025277678817446,87.41074588205832,299.9278564453125,0.0002643938076108928,5.773432259385253e-16,3.156161946492545e-06,2.5815212726593018
10,200.0,0.07684253263318251,-0.016064047498026437,-0.00025805362201884946,-0.08678636887838509,0.032128094996052875,0.1267653012534304,0.1743537848294517,0.006239894674835111,0.0010879492534946425,0.05316129192023328,-0.16108750759192084,0.07684253263318251,0.1743537848294517,0.010414963475418353,-6.96049036345972e-08,1.4386300874356878e-05,-0.0022219064299542645,0.017981820561202212,0.13093831063067618,-0.04077798584465719,6.522335959366359e-08,6.628821665456195e-08,0.021961823073782107,90.0,299.8143310546875,0.0002899231675679654,5.570229174839837e-16,3.0096364371887256e-06,2.8664374351501465
11,164.0,0.09784201615339669,-0.009072384918140882,-8.230816810291014e-05,-0.04457413988126209,0.018144769836281764,0.11449762027549784,0.13655462042677413,0.00391945796686322,0.0005352200949437028,0.03144827961803019,-0.07677688452370751,0.09784201615339669,0.13655462042677413,0.006616000632299882,-4.351655287125251e-08,8.96411098713311e-06,-0.0012771255293620907,0.011687147978831768,0.11660377142726794,-0.044760141472966426,7.247193625196138e-08,7.313544919824904e-08,0.022074674403003484,92.05671765275719,299.95513916015625,0.00027358312152970187,6.124241762637257e-16,1.9099175719898173e-06,1.824298620223999
12,111.0,0.07093634609811098,-0.0079877174638648,-6.380363028253074e-05,-0.03515622986977254,0.0159754349277296,0.07946486699464886,0.09376376026261037,0.004521730819803828,0.0004239744845601428,0.02391792547434944,-0.05363682895354217,0.07093634609811098,0.09376376026261037,0.0068914893146933345,-4.166727602848813e-08,8.695991408528891e-06,-0.00109810379353884,0.00985694813108809,0.08074972687607036,-0.049677683340148694,7.993843334475561e-08,8.05821003953585e-08,0.02191467691382506,93.69042655519807,299.8299560546875,0.0002313969793864973,5.160031195895927e-16,2.1715750818671943e-06,1.8970917463302612
13,97.0,0.050647698824800955,-0.007826812494492897,-6.125899382395014e-05,-0.03498869496215358,0.015653624988985794,0.05754259751384759,0.07178572703528342,0.00480805007527989,0.000345149370276016,0.02150327698663571,-0.0497030043049708,0.050647698824800955,0.07178572703528342,0.007061699107852628,-4.965077313572812e-08,9.323609277084553e-06,-0.0012034591951576438,0.00964146538153201,0.058454034209130014,-0.054002060612938996,8.748403351294681e-08,8.81741560995985e-08,0.022059151516999668,94.98812766372727,299.9578552246094,0.00020934315598027778,4.47375385838692e-16,2.3396268113848947e-06,1.9472662210464478
14,73.0,0.05026177723085407,-0.0058535220503891094,-3.426372039439151e-05,-0.026859920655088677,0.011707044100778217,0.05914592007048996,0.07028868068576115,0.003778774579623063,0.00026560507981059675,0.019039362170259942,-0.04509696902035276,0.05026177723085407,0.07028868068576115,0.006030703395185745,-4.447961971046981e-08,7.5326090678540655e-06,-0.0012921586926423513,0.009283249546403218,0.05984447144261978,-0.05876528812803904,9.469362110271789e-08,9.525117596153421e-08,0.021898143640004798,96.01892829446503,299.85382080078125,0.0002427320542839272,5.366183064500924e-16,1.8120308424058783e-06,1.6606628894805908
15,65.0,0.03707677994220566,-0.0025036524860143146,-6.26827577072566e-06,-0.009304067582987071,0.00500730497202863,0.04190733216952901,0.0412505552538798,0.00476331827853773,0.00019648952384063628,0.010336444873131794,-0.02172117503259834,0.03707677994220566,0.0412505552538798,0.007210954847792402,-1.8705121954539633e-08,3.549914484675817e-06,-0.0007369414718274863,0.005485536448335384,0.042117965661373276,-0.06392956802508055,1.046881039258948e-07,1.0495086441850558e-07,0.022179005772959247,96.83772233983163,299.9295654296875,0.00016859059311664766,4.61596018707798e-16,2.3431157828310494e-06,1.9876735210418701
16,46.0,0.038185463798113564,-0.0031576438993231332,-9.970714994932599e-06,-0.011503333943844132,0.006315287798646266,0.03812863639923535,0.036276898718547355,0.006802964101195794,0.0002467904396849934,0.007303587077812423,-0.015180383870561554,0.038185463798113564,0.036276898718547355,0.009785361872315339,-2.5576536021387766e-08,4.7083869787832536e-06,-0.0005908392388806426,0.004147834785680814,0.03837057504155439,-0.06853325169548068,1.1002152435794586e-07,1.1037003362127818e-07,0.021757433283030665,97.48811356849042,299.6664733886719,0.00017038557689188962,4.644656742180105e-16,3.220427304566956e-06,2.687847852706909
