,N_omega_500,N_pr,N_prQ,N_pr_sc,N_pr_scOGS09,N_pr_scOGS09ad,N_pr_scRH,N_pr_scRHad,N_qvstar_s,bias_sc,bias_scOGS09,bias_scOGS09ad,bias_scRH,bias_scRHad,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr,norm_var_pr_I25,norm_var_pr_I75,norm_var_pr_Ibnd,norm_var_pr_scOGS09_I25_prQ,norm_var_pr_scOGS09_I75_prQ,norm_var_pr_scOGS09_prQ,norm_var_pr_scOGS09ad_I25_prQ,norm_var_pr_scOGS09ad_I75_prQ,norm_var_pr_scOGS09ad_prQ,norm_var_pr_scRH_I25_prQ,norm_var_pr_scRH_I75_prQ,norm_var_pr_scRH_prQ,norm_var_pr_scRHad_I25_prQ,norm_var_pr_scRHad_I75_prQ,norm_var_pr_scRHad_prQ,norm_var_pr_sc_I25_prQ,norm_var_pr_sc_I75_prQ,norm_var_pr_sc_prQ,omega_500_prQ,percentiles,percentiles_omega_500,percentiles_pr,percentiles_pr_sc,percentiles_pr_scOGS09,percentiles_qvstar_s,pr_scOGS09_prQ,pr_scOGS09_vQ,pr_scOGS09ad_prQ,pr_scOGS09ad_vQ,pr_scRH_prQ,pr_scRH_vQ,pr_scRHad_prQ,pr_scRHad_vQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_omega_500,ranks_pr,ranks_pr_sc,ranks_pr_scOGS09,ranks_qvstar_s,ranks_ref,ts_prQ,var_omega_500_prQ,var_prQ,var_pr_scOGS09_I25_prQ,var_pr_scOGS09_I75_prQ,var_pr_scOGS09_prQ,var_pr_scOGS09ad_I25_prQ,var_pr_scOGS09ad_I75_prQ,var_pr_scOGS09ad_prQ,var_pr_scRH_I25_prQ,var_pr_scRH_I75_prQ,var_pr_scRH_prQ,var_pr_scRHad_I25_prQ,var_pr_scRHad_I75_prQ,var_pr_scRHad_prQ,var_pr_sc_I25_prQ,var_pr_sc_I75_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ,var_vQ
0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.0003514357207216965,-0.00024263943741758884,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.744545663624056e-06,-0.03383196276433451,9.744545663624056e-06,-4.472800863525427e-05,-3.879422259883358e-05,0.011846610673653961,,,,,,,,,,,,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,,,,,,,,,,,,,,,,,,,,,
2,29602.0,17765.0,,27721.0,29845.0,29912.0,29783.0,29888.0,25122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0057815529578426e-05,-0.01622399648850345,2.0057815529578426e-05,-2.2892395049036e-05,-1.6218353779107016e-05,0.013958258605605844,,,,,,,,,,,,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,,,,,,,,,,,,,,,,,,,,,
3,15952.0,15558.0,,14977.0,15591.0,15688.0,15608.0,15934.0,13799.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1970744803185246e-05,-0.0031142041171176135,3.1970744803185246e-05,-5.619144329385695e-06,2.172048339091017e-06,0.01489058709580402,,,,,,,,,,,,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,,,,,,,,,,,,,,,,,,,,,
4,12378.0,11800.0,,11459.0,12270.0,12203.0,12286.0,12053.0,11919.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4078650424632076e-05,0.00797933642492403,4.4078650424632076e-05,9.959420292954262e-06,1.7578417851033468e-05,0.015464573608443999,,,,,,,,,,,,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,,,,,,,,,,,,,,,,,,,,,
5,9657.0,9645.0,,8955.0,9809.0,9737.0,9843.0,9747.0,9404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.437549504378245e-05,0.017697898905127005,5.437549504378245e-05,2.4062748347923883e-05,3.127306241149773e-05,0.015907105603961223,,,,,,,,,,,,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,,,,,,,,,,,,,,,,,,,,,
6,7729.0,7656.0,,7196.0,7735.0,7758.0,7700.0,7709.0,7280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.324164819588202e-05,0.026481192959066143,6.324164819588202e-05,3.736321132542908e-05,4.384520974195819e-05,0.016385000649932795,,,,,,,,,,,,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,,,,,,,,,,,,,,,,,,,,,
7,6094.0,6134.0,,5719.0,6200.0,6113.0,6231.0,6097.0,5662.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.146885110336481e-05,0.03498824399099451,7.146885110336481e-05,5.041895228964199e-05,5.510604367499829e-05,0.016956138639223947,,,,,,,,,,,,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,,,,,,,,,,,,,,,,,,,,,
8,4837.0,4964.0,4964.0,4502.0,4740.0,4909.0,4706.0,4884.0,4673.0,0.014421065489362995,0.024026690717189995,0.015031954964865176,0.020741521544734635,0.012763735600754698,0.5762673642198689,0.03065582292094543,-0.0009397794789603634,0.22001519935490368,-0.06131164584189087,0.9260008771174786,0.728502502945327,0.022987875383687507,0.016746724754411624,0.062777656680674,-0.22824409431215337,0.5762673642198689,0.728502502945327,0.013231298906021238,4.2381836252168295e-08,-1.3454777528555998e-05,-0.0015752785383414609,0.015810842537970993,0.4749334826837999,0.4791329013096757,0.4602809812117965,0.4602809812117965,0.5634367276234066,0.5743016961981168,0.5454043222221191,0.5338505750183142,0.5124410182718253,0.5163500988577873,0.5513603221868814,0.5238986656997929,0.5435947390377578,0.4791329013096757,0.4602809812117965,0.4749334826837999,0.9068377030799932,0.8944789673761044,0.8682643167429592,-0.027403617317317025,7.878096829765784e-05,0.04272291200972022,7.878096829765784e-05,6.248205550223377e-05,6.585118242031326e-05,0.017643790062712206,4.546209414194691e-05,4.4369790466642576e-05,4.710017566353132e-05,4.639216794411988e-05,4.568327819556384e-05,4.4735737496636444e-05,3.963704813545882e-05,3.913113133306344e-05,4.2704672495211255e-05,4.2088825616456014e-05,0.016016058570045563,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,300.0553894042969,0.0005470749589583009,3.963704813545882e-05,1.1645121576503691e-09,1.1869678964714918e-09,1.1272427460341727e-09,1.1843082880377248e-09,1.1368127589803456e-09,1.1454847671286994e-09,1.1506679892661542e-09,1.0933565582829044e-09,1.134461513050674e-09,7.527635858244515e-10,7.231454173919239e-10,7.46165897762222e-10,1.6537899918850506e-09,1.6312515008738969e-09,1.5834441294880224e-09,5.896714903309312e-06,4.470401287078857,3.913113133306344e-05
9,3899.0,3848.0,3848.0,3578.0,3877.0,3802.0,3918.0,3828.0,3474.0,0.00725782579425015,0.014257825937623725,0.011656943482894188,0.011392296885136608,0.012339129529548173,0.33605984863635185,0.024352288174777977,-0.0005930339393474314,0.16233733611735035,-0.04870457634955596,0.6061639782217125,0.4619389201594354,0.02133148779596698,0.00985384443786316,0.05731848177059282,-0.19613798491899384,0.33605984863635185,0.4619389201594354,0.012940431625317496,5.213519788109355e-08,-1.3800539992166267e-05,-0.0022274504083378164,0.018520777448412795,0.32810943371933937,0.3292074883165422,0.3404193170240177,0.3404193170240177,0.33639500336458306,0.36027483121250364,0.35999985154091224,0.34690019771237596,0.34509935957684906,0.3512292003440625,0.34838651097880785,0.346856775937977,0.35628103699046315,0.3292074883165422,0.3404193170240177,0.32810943371933937,0.567526099950454,0.5679128210635827,0.5705626836464093,-0.0351464770834362,8.589675608853265e-05,0.049969397595350726,8.589675608853265e-05,7.394828639319848e-05,7.606905048337213e-05,0.018519604850745018,5.473736833016175e-05,5.3956932460226705e-05,5.7029383010708746e-05,5.636459471608859e-05,5.489716504425733e-05,5.4271760241920804e-05,4.885502083529213e-05,4.8252192405036685e-05,5.474230738470664e-05,5.434499725413315e-05,0.016124063716530863,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,300.10400390625,0.0005706215309449701,4.885502083529213e-05,1.0078998101952839e-09,1.0794480606588316e-09,1.0786241722061719e-09,1.128241040701286e-09,1.1223840838429159e-09,1.142320474690027e-09,1.0499319856498814e-09,1.0453218251002514e-09,1.0737237086643414e-09,7.857567328326261e-10,8.125172720272697e-10,7.831358817785326e-10,1.700716937851678e-09,1.7018758328300415e-09,1.7098167296063943e-09,5.545876042847476e-06,4.3749613761901855,4.8252192405036685e-05
