,N_prQ,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr_sc_prQ,omega_500_prQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_ref,ts_prQ,var_omega_500_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ
0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,20.567176527571853,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,36.90426555198067,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,49.88127663727278,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,60.18928294465028,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,68.3772233983162,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,74.8811356849042,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,80.0473768503112,,,,,
8,7956.0,13.007932906739487,0.015795803983442207,-0.0002495074234833287,-0.658433055971816,-0.031591607966884414,14.739977904765642,15.151293499115248,0.01727159357409106,0.26168698343848656,0.11186944455500628,-2.2745554021666354,13.007932906739487,15.151293499115248,0.019325365235868537,-3.0273287712570574e-08,-3.387004057518914e-06,-0.0011272589266310422,0.0072718284214695885,14.285123634746022,-0.007624213023325486,1.317596439286163e-08,1.2971075821727259e-08,0.028124121080905593,84.15106807538886,303.9588317871094,0.0008807238463334517,2.4799837120251403e-15,1.366124650534511e-05,5.619037628173828
9,6259.0,1.8207026792938055,-0.017910593652441256,-0.0003207893649828691,-0.19838909412702374,0.03582118730488252,2.0454917952754412,2.1666269813654297,0.013185484221173292,0.028568025875962196,0.08510207975658715,-0.44744916212262886,1.8207026792938055,2.1666269813654297,0.016422780294417544,-7.506444074971066e-08,1.10171233116469e-05,-0.0018434027525654102,0.015946321856248676,2.1207803413359847,-0.02198650407387012,3.6543595301868586e-08,3.721004937602994e-08,0.027977058365779697,87.41074588205832,303.8983154296875,0.0010473612655519276,2.8321629327146326e-15,1.0320486762028098e-05,4.7712812423706055
10,5062.0,0.5962045200629305,-0.01789923171387724,-0.00032038249594706865,-0.11611933788188361,0.03579846342775447,0.6934431940331359,0.7534962688556867,0.011741218098491319,0.008846964029034067,0.06993271830574338,-0.2437893501884965,0.5962045200629305,0.7534962688556867,0.01656488308999688,-1.4212528305106804e-07,1.9802398053255828e-05,-0.003260046225225183,0.023605503931506948,0.7189501662160863,-0.03961650525339523,6.572664486903057e-08,6.692454276736899e-08,0.02792590357070331,90.0,303.8607177734375,0.0011825878966692472,3.1058588555466685e-15,9.156460440947148e-06,4.810184955596924
11,4059.0,0.2634822218525931,-0.01937232646892753,-0.0003752870328187103,-0.10261409405009139,0.03874465293785506,0.32583161135163474,0.37491310597402605,0.011028503151784032,0.004134730370879688,0.06267816468808651,-0.19125468233972195,0.2634822218525931,0.37491310597402605,0.017145633530202504,-2.6348217996512373e-07,3.1042300283820486e-05,-0.0054339931159721475,0.030828263398303832,0.338832395515655,-0.0577662556150547,9.505572490728193e-08,9.693355334854313e-08,0.027739453372708646,92.05671765275719,303.7564392089844,0.0012510626477428993,3.0615508884198667e-15,8.486182535102007e-06,4.971994876861572
12,3148.0,0.14515159298715832,-0.01790214672153089,-0.0003204868572392192,-0.0874161459713751,0.035804293443061776,0.1754036458323798,0.2146255817067233,0.010464462219994676,0.002245941291214387,0.05197333825208982,-0.1389626010731231,0.14515159298715832,0.2146255817067233,0.017515274101468307,-4.024588135833325e-07,3.8412272916731814e-05,-0.007107654860862714,0.03429833247216711,0.1818566106303401,-0.07750612115716686,1.2747401717239376e-07,1.297976741796717e-07,0.027684003200071357,93.69042655519807,303.75567626953125,0.001289298540489956,2.955101736346616e-15,8.020006050479993e-06,5.079134464263916
13,2558.0,0.09153442592578005,-0.016051483469561537,-0.0002576501215736072,-0.07572522546215643,0.032102966939123075,0.11297975510991509,0.1464157109489235,0.0091100921819658,0.0013338606236327523,0.04503475102948097,-0.11490128387815308,0.09153442592578005,0.1464157109489235,0.014985247825528668,-5.771949955141181e-07,4.431555235759192e-05,-0.009714820681020604,0.03821816480936389,0.11669597541844855,-0.0996294756139503,1.6432944294988927e-07,1.6701020448645161e-07,0.02771106049710034,94.98812766372727,303.81787109375,0.0014533270923748332,3.151277470752208e-15,6.995665967788186e-06,4.349029541015625
14,2029.0,0.05724877757825341,-0.013999339993396604,-0.00019598152025071362,-0.06161371889112661,0.027998679986793208,0.0732119272589909,0.09566402089098797,0.010367162356349007,0.0009917644362380353,0.038777538766980126,-0.09403341578368944,0.05724877757825341,0.09566402089098797,0.01684063370397476,-7.260844123541731e-07,4.8057636305002724e-05,-0.012327242681850257,0.04097018957993916,0.07530562689642618,-0.12407834748328048,2.047547887763955e-07,2.076619185782535e-07,0.02766679451421493,96.01892829446503,303.7680358886719,0.0014727893411857523,3.1571525265246374e-15,7.935560170191738e-06,4.8842949867248535
15,1610.0,0.03705058779277983,-0.013910081375526413,-0.00019349036387376686,-0.0613059082753053,0.02782016275105283,0.049491216236797836,0.07223672187643672,0.01019712347601106,0.0007366067724762946,0.03630807007525634,-0.08815040763495359,0.03705058779277983,0.07223672187643672,0.01665620347604036,-1.0035701095825938e-06,5.627977649092443e-05,-0.016140575750124835,0.045334496449945465,0.05089734038499278,-0.14664560992356085,2.4134662441234544e-07,2.447511325833318e-07,0.02759012239824333,96.83772233983163,303.7557373046875,0.0015534460020539382,2.9646781117968447e-15,7.762201857502367e-06,4.83002233505249
16,1234.0,0.035252876108249766,-0.009807941346599685,-9.619571345833963e-05,-0.041945384507799305,0.01961588269319937,0.04354413075830523,0.05653323137062591,0.008931661244100797,0.0005049356716368028,0.025609688940305315,-0.060837581403308374,0.035252876108249766,0.05653323137062591,0.013947537200626922,-9.330401317830266e-07,4.6257902037276275e-05,-0.014879992769040926,0.03698025078368067,0.04441101996650239,-0.16938121010792506,2.8250720460609885e-07,2.85305463861517e-07,0.027844719082745745,97.48811356849042,303.9459533691406,0.0016219380879109045,3.5444577441133933e-15,6.9249704502162136e-06,4.054694652557373
