,N_prQ,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr_sc_prQ,omega_500_prQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_ref,ts_prQ,var_omega_500_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ
0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,20.567176527571853,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,36.90426555198067,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,49.88127663727278,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,60.18928294465028,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,68.3772233983162,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,74.8811356849042,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,80.0473768503112,,,,,
8,4720.0,0.8658957582488858,-0.02718905916182754,-0.0007392449381053581,-0.22256039474415698,0.05437811832365508,1.0114753998547459,1.1110364039046021,0.03285614458398772,0.036504372724763395,0.08767810715704322,-0.3600247191791602,0.8658957582488858,1.1110364039046021,0.02720596636640058,-1.0011619860798859e-07,1.8235698947343315e-05,-0.0017187032511472963,0.017694877399781584,1.0688048900246339,-0.02365441357108469,4.1642025079611106e-08,4.2805876590709805e-08,0.028354111863768197,84.15106807538886,304.0663146972656,0.0006216596227498079,1.853369940106423e-15,2.6414883390376906e-05,7.92159366607666
9,3858.0,0.408709870958562,-0.013873293090038893,-0.0001924682611621209,-0.08937772679864216,0.027746586180077786,0.48459551424341013,0.5061407296032563,0.026742782216964727,0.013535611302915513,0.04953520379723128,-0.16982148800811528,0.408709870958562,0.5061407296032563,0.022855425566189677,-8.427231879400645e-08,1.3471234027577233e-05,-0.00168798019778772,0.014430843410489513,0.4983264602924232,-0.03411905119181051,6.111329520356667e-08,6.197306570781949e-08,0.028459736455775892,87.41074588205832,304.1841735839844,0.0005892033097298559,1.861167030895358e-15,2.1660492935786342e-05,6.665165424346924
10,3096.0,0.23350338372892404,-0.014782631063397444,-0.0002185261811565231,-0.08538732320896494,0.029565262126794892,0.2758398534269797,0.3003328524127524,0.024261163762045748,0.007286424515508104,0.04371795378216399,-0.13161657089424122,0.23350338372892404,0.3003328524127524,0.02106914842824885,-1.4250176577390344e-07,1.9097000589192507e-05,-0.0023151999090640875,0.01694374014155723,0.2841795970219199,-0.04538668563032467,8.123078383046185e-08,8.244960593634128e-08,0.02846328057554766,90.0,304.1982421875,0.0006186710294896679,1.875142088862715e-15,1.9655384187156623e-05,6.145382881164551
11,2406.0,0.16173390683878108,-0.008221232565812298,-6.758866490117267e-05,-0.0430335872835541,0.016442465131624596,0.19122027203935663,0.19266678742945043,0.021139345618130804,0.004072849808606092,0.02715935053201433,-0.07649360167250333,0.16173390683878108,0.19266678742945043,0.018401370549819638,-1.0705386877397364e-07,1.2966845672407089e-05,-0.0020039583335115223,0.012847375595334004,0.1944036070901433,-0.05538198743562992,9.983604670276406e-08,1.0066362578122947e-07,0.028479271206670525,92.05671765275719,304.2351989746094,0.0005909407369596993,1.9376666741279024e-15,1.7145465553334503e-05,5.3698625564575195
12,1923.0,0.11649530396863934,-0.005349140852935945,-2.861330786454828e-05,-0.026409729483991704,0.010698281705871887,0.14027609184343484,0.13308549255286825,0.020237361194068094,0.0026932991824828536,0.018485658321926553,-0.05212497511708308,0.11649530396863934,0.13308549255286825,0.017049128210927623,-8.757588869744197e-08,9.740793442007729e-06,-0.0018089859910699183,0.010067809053698563,0.14178893273825938,-0.06372198476399968,1.1559954461366052e-07,1.1622122833412097e-07,0.02857728761497336,93.69042655519807,304.33477783203125,0.0005403924902917826,1.8947616239331545e-15,1.6527071065900404e-05,4.981770038604736
13,1511.0,0.0965698947859155,-0.005814306171794607,-3.380615625936887e-05,-0.030849891701472718,0.011628612343589216,0.11591798952733973,0.11552193212994433,0.017616097313315003,0.0020350455982232705,0.01852827791056489,-0.05242590576290912,0.0965698947859155,0.11552193212994433,0.014945590508315405,-1.3448747851336763e-07,1.2139813110918428e-05,-0.002394799527140438,0.011577287926334362,0.11727780292229965,-0.07310573420365127,1.3248196897325144e-07,1.3325676460211089e-07,0.028560293132796122,94.98812766372727,304.338134765625,0.000617401002270249,2.0583980862953408e-15,1.4369280474462522e-05,4.367307186126709
14,1222.0,0.0739847361537356,-0.004732398889154416,-2.2395599246069953e-05,-0.022716320923271836,0.009464797778308833,0.08648239921921416,0.08153301968863455,0.016849507082118523,0.0013737911926701566,0.013698479481924656,-0.03527021859744343,0.0739847361537356,0.08153301968863455,0.014023455580619818,-1.292861585206714e-07,1.1289854936688064e-05,-0.0020818434908021766,0.009733334218455238,0.08730678499610835,-0.08307123229653979,1.5153817255835954e-07,1.5225872156314904e-07,0.028718143748753304,96.01892829446503,304.4496765136719,0.000562645478520029,2.004897098319175e-15,1.3896323974260917e-05,4.103857517242432
15,973.0,0.05968905033344521,-0.003866787441489233,-1.495204511765885e-05,-0.01872089568037287,0.007733574882978466,0.06993231841118461,0.06573000079757794,0.014266831603445348,0.000937758852673373,0.011464284603468992,-0.030633220704558567,0.05968905033344521,0.06573000079757794,0.013127985636956836,-1.300877656445106e-07,1.0193074889286884e-05,-0.002223358553103129,0.009031089417116571,0.07047629837736802,-0.09213479254100208,1.675897669041932e-07,1.6824031644698253e-07,0.028610882468600482,96.83772233983163,304.3904113769531,0.0005579701451452713,1.9794205713615377e-15,1.1678580045393946e-05,3.8388144969940186
16,797.0,0.05681501729240081,-0.0011552528852909149,-1.3346092289729837e-06,-0.006060711796243957,0.0023105057705818297,0.06420473973569399,0.05116191975721591,0.015976949219439124,0.0008174113939300578,0.004576348679056505,-0.013318354251811845,0.05681501729240081,0.05116191975721591,0.014395103107940238,-5.046941528101684e-08,3.3337220084437764e-06,-0.0011422524363939087,0.003920443504350056,0.06435334261860555,-0.1001141437819154,1.839608769813857e-07,1.8417364411514425e-07,0.028824174801475207,97.48811356849042,304.51348876953125,0.0005127878271529582,2.17782035369163e-15,1.3274177497388871e-05,4.216150283813477
