,N_omega_500,N_pr,N_prQ,N_pr_sc,N_pr_scOGS09,N_pr_scOGS09ad,N_pr_scRH,N_pr_scRHad,N_qvstar_s,bias_sc,bias_scOGS09,bias_scOGS09ad,bias_scRH,bias_scRHad,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr,norm_var_pr_I25,norm_var_pr_I75,norm_var_pr_Ibnd,norm_var_pr_scOGS09_I25_prQ,norm_var_pr_scOGS09_I75_prQ,norm_var_pr_scOGS09_prQ,norm_var_pr_scOGS09ad_I25_prQ,norm_var_pr_scOGS09ad_I75_prQ,norm_var_pr_scOGS09ad_prQ,norm_var_pr_scRH_I25_prQ,norm_var_pr_scRH_I75_prQ,norm_var_pr_scRH_prQ,norm_var_pr_scRHad_I25_prQ,norm_var_pr_scRHad_I75_prQ,norm_var_pr_scRHad_prQ,norm_var_pr_sc_I25_prQ,norm_var_pr_sc_I75_prQ,norm_var_pr_sc_prQ,omega_500_prQ,percentiles,percentiles_omega_500,percentiles_pr,percentiles_pr_sc,percentiles_pr_scOGS09,percentiles_qvstar_s,pr_scOGS09_prQ,pr_scOGS09_vQ,pr_scOGS09ad_prQ,pr_scOGS09ad_vQ,pr_scRH_prQ,pr_scRH_vQ,pr_scRHad_prQ,pr_scRHad_vQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_omega_500,ranks_pr,ranks_pr_sc,ranks_pr_scOGS09,ranks_qvstar_s,ranks_ref,ts_prQ,var_omega_500_prQ,var_prQ,var_pr_scOGS09_I25_prQ,var_pr_scOGS09_I75_prQ,var_pr_scOGS09_prQ,var_pr_scOGS09ad_I25_prQ,var_pr_scOGS09ad_I75_prQ,var_pr_scOGS09ad_prQ,var_pr_scRH_I25_prQ,var_pr_scRH_I75_prQ,var_pr_scRH_prQ,var_pr_scRHad_I25_prQ,var_pr_scRHad_I75_prQ,var_pr_scRHad_prQ,var_pr_sc_I25_prQ,var_pr_sc_I75_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ,var_vQ
0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.0002936292906102388,-0.00019765830665049829,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.043639513104542e-06,-0.028523988467530438,5.043639513104542e-06,-4.7162184647601286e-05,-4.4110926424577903e-05,0.016892289969028695,,,,,,,,,,,,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,,,,,,,,,,,,,,,,,,,,,
2,19789.0,12154.0,,18949.0,19853.0,19937.0,19866.0,19990.0,15285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2541622331385512e-05,-0.015454314739401889,1.2541622331385512e-05,-2.633144542995965e-05,-2.057688353392451e-05,0.01894231304519814,,,,,,,,,,,,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,,,,,,,,,,,,,,,,,,,,,
3,10557.0,10158.0,,10205.0,10502.0,10486.0,10465.0,10519.0,10227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2645930820805085e-05,-0.005262794686102246,2.2645930820805085e-05,-9.819929930100194e-06,-6.022430348119446e-07,0.02010576238845277,,,,,,,,,,,,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,,,,,,,,,,,,,,,,,,,,,
4,8265.0,7876.0,,7908.0,8185.0,8226.0,8222.0,8208.0,8130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.497345314485274e-05,0.0039906456828454956,3.497345314485274e-05,5.876055316647472e-06,1.8657805725757436e-05,0.020820484002938608,,,,,,,,,,,,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,,,,,,,,,,,,,,,,,,,,,
5,6500.0,6423.0,,6271.0,6506.0,6383.0,6496.0,6397.0,6479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.85834693905301e-05,0.013282293281091099,4.85834693905301e-05,2.2412365411415426e-05,3.7764891195221454e-05,0.02143766029679929,,,,,,,,,,,,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,,,,,,,,,,,,,,,,,,,,,
6,5077.0,5058.0,,4855.0,5061.0,5096.0,5053.0,5073.0,5078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.293763950316598e-05,0.02261307202453277,6.293763950316598e-05,3.971943521908225e-05,5.6844820264428104e-05,0.022149148167645225,,,,,,,,,,,,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,,,,,,,,,,,,,,,,,,,,,
7,4063.0,4033.0,,3805.0,4050.0,4053.0,4057.0,4031.0,3697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.686480291515448e-05,0.0319926168666195,7.686480291515448e-05,5.75112590533494e-05,7.461402273980025e-05,0.02298337552213077,,,,,,,,,,,,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,,,,,,,,,,,,,,,,,,,,,
8,3182.0,3191.0,3191.0,3117.0,3239.0,3269.0,3231.0,3250.0,3131.0,-0.011879189597410902,0.03980690339940439,0.024419641884394643,0.03837999476511491,0.01998595746807484,0.5838009245168281,0.017336819232143412,-0.0003005653010880177,0.0989797363757702,-0.034673638464286824,0.7549294752142115,0.6500459946180096,0.024773823347433367,0.016104124638373195,0.03398933856195225,-0.11685525785107992,0.5838009245168281,0.6500459946180096,0.01662084918794612,3.2592159187408514e-08,-9.948390885527365e-06,-0.0008056236527815092,0.00867267735579287,0.551498680659111,0.5289199105390142,0.5996898266794952,0.5996898266794952,0.5698396458069294,0.6536147450953805,0.6066448015526328,0.6161840265334384,0.6406293367161562,0.6047864829965923,0.5968654841495916,0.5933025281004454,0.6068923262202924,0.5289199105390142,0.5996898266794952,0.551498680659111,0.74624744730923,0.6576447088042363,0.7476223286988588,-0.027019261446857984,9.068190632596277e-05,0.04120808099218756,9.068190632596277e-05,7.509325290100208e-05,9.104196282270638e-05,0.023890390055520273,5.802424169176699e-05,5.571447630791913e-05,5.996613625374789e-05,5.850178468124055e-05,5.767202598340459e-05,5.545857392806795e-05,5.499797167696599e-05,5.389878455419976e-05,4.915995247346854e-05,4.974393286950058e-05,0.021237820523085232,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,304.15777587890625,0.00047455989587031234,5.499797167696599e-05,1.9185433131040903e-09,2.200598374957308e-09,2.042459376093499e-09,2.2157592461891545e-09,2.303663053705949e-09,2.1747743920090052e-09,1.9852119527386062e-09,1.9733613379456846e-09,2.0185618569558663e-09,1.5998647213083981e-09,1.8139279280568947e-09,1.6681604633402353e-09,1.8034568978281371e-09,1.5893305775312193e-09,1.8067795749572345e-09,1.117410966135996e-05,5.929078578948975,5.389878455419976e-05
9,2602.0,2627.0,2627.0,2521.0,2591.0,2574.0,2595.0,2612.0,2496.0,-0.001745029657163412,0.027267650920378157,0.019298757851338263,0.026121030841298708,0.017588039519007514,0.30891192812275975,0.012869631315841965,-0.00016562741020570022,0.07977902183058642,-0.025739262631683933,0.42192238872325477,0.33815908284113644,0.02233603947145189,0.007553134621969595,0.01925123822580778,-0.06378834668997706,0.30891192812275975,0.33815908284113644,0.01528995374579257,4.8673542238460046e-08,-1.0052364521400267e-05,-0.000808415122911909,0.006663005100687859,0.31841145003999843,0.3076455024078256,0.31661208905506194,0.31661208905506194,0.35021305281200643,0.3460405701851287,0.3318947582978593,0.34633546424592665,0.3580343452633486,0.34388174109859654,0.3063817147534607,0.3378006264044155,0.3309955310176404,0.3076455024078256,0.31661208905506194,0.31841145003999843,0.4057152868267383,0.4447458463428564,0.4148043288723011,-0.03661690267942397,0.00010412885992405082,0.05033084364920273,0.00010412885992405082,9.297609035555953e-05,0.00010719101401026677,0.0248885538715101,7.478696607766959e-05,7.274770119326953e-05,7.787349024795038e-05,7.637062861661663e-05,7.432871134288535e-05,7.238716878150385e-05,7.198082822139294e-05,7.071482657002419e-05,6.759298492144864e-05,6.771093668475277e-05,0.021331456868265028,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,304.2953796386719,0.0004534028737855547,7.198082822139294e-05,1.958773226901053e-09,1.9354361548141793e-09,1.8563173516311473e-09,2.1002753965350284e-09,2.171220692366571e-09,2.0853953311410133e-09,1.6926846243296665e-09,1.86626648677057e-09,1.828669986151857e-09,1.593985069508982e-09,1.6404431036043627e-09,1.6497660240507784e-09,1.853636713048334e-09,2.0319599865334447e-09,1.895162833875253e-09,1.0163591540947821e-05,5.464191436767578,7.071482657002419e-05
