,N_omega_500,N_pr,N_prQ,N_pr_sc,N_pr_scOGS09,N_pr_scOGS09ad,N_pr_scRH,N_pr_scRHad,N_qvstar_s,bias_sc,bias_scOGS09,bias_scOGS09ad,bias_scRH,bias_scRHad,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr,norm_var_pr_I25,norm_var_pr_I75,norm_var_pr_Ibnd,norm_var_pr_scOGS09_I25_prQ,norm_var_pr_scOGS09_I75_prQ,norm_var_pr_scOGS09_prQ,norm_var_pr_scOGS09ad_I25_prQ,norm_var_pr_scOGS09ad_I75_prQ,norm_var_pr_scOGS09ad_prQ,norm_var_pr_scRH_I25_prQ,norm_var_pr_scRH_I75_prQ,norm_var_pr_scRH_prQ,norm_var_pr_scRHad_I25_prQ,norm_var_pr_scRHad_I75_prQ,norm_var_pr_scRHad_prQ,norm_var_pr_sc_I25_prQ,norm_var_pr_sc_I75_prQ,norm_var_pr_sc_prQ,omega_500_prQ,percentiles,percentiles_omega_500,percentiles_pr,percentiles_pr_sc,percentiles_pr_scOGS09,percentiles_qvstar_s,pr_scOGS09_prQ,pr_scOGS09_vQ,pr_scOGS09ad_prQ,pr_scOGS09ad_vQ,pr_scRH_prQ,pr_scRH_vQ,pr_scRHad_prQ,pr_scRHad_vQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_omega_500,ranks_pr,ranks_pr_sc,ranks_pr_scOGS09,ranks_qvstar_s,ranks_ref,ts_prQ,var_omega_500_prQ,var_prQ,var_pr_scOGS09_I25_prQ,var_pr_scOGS09_I75_prQ,var_pr_scOGS09_prQ,var_pr_scOGS09ad_I25_prQ,var_pr_scOGS09ad_I75_prQ,var_pr_scOGS09ad_prQ,var_pr_scRH_I25_prQ,var_pr_scRH_I75_prQ,var_pr_scRH_prQ,var_pr_scRHad_I25_prQ,var_pr_scRHad_I75_prQ,var_pr_scRHad_prQ,var_pr_sc_I25_prQ,var_pr_sc_I75_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ,var_vQ
0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.00012009776758907378,-9.353687601920622e-05,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.799749982670711e-06,-0.022096598506545877,7.799749982670711e-06,-3.902682385216636e-05,-3.599880253130769e-05,0.016843216505928203,,,,,,,,,,,,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,,,,,,,,,,,,,,,,,,,,,
2,606.0,406.0,,566.0,630.0,628.0,615.0,631.0,453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7102484903928456e-05,-0.013537402401771356,1.7102484903928456e-05,-2.484036383136396e-05,-1.8305116730876316e-05,0.018913210259821504,,,,,,,,,,,,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,,,,,,,,,,,,,,,,,,,,,
3,319.0,306.0,,313.0,290.0,301.0,296.0,296.0,325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9606516653113565e-05,-0.00378156153741816,2.9606516653113565e-05,-8.026831556771596e-06,4.492291241117073e-06,0.020141079607837342,,,,,,,,,,,,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,,,,,,,,,,,,,,,,,,,,,
4,248.0,247.0,,233.0,243.0,230.0,237.0,239.0,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5224121699916555e-05,0.005852427999898159,4.5224121699916555e-05,1.0057799485692063e-05,2.354859465048208e-05,0.02083776152246184,,,,,,,,,,,,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,,,,,,,,,,,,,,,,,,,,,
5,186.0,194.0,,179.0,206.0,209.0,203.0,208.0,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.832949458155025e-05,0.014879825498705392,5.832949458155025e-05,2.81733703807408e-05,4.083926814924482e-05,0.021451800402298042,,,,,,,,,,,,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,,,,,,,,,,,,,,,,,,,,,
6,164.0,160.0,,153.0,150.0,165.0,158.0,166.0,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.930388949056342e-05,0.02185787358136223,6.930388949056342e-05,4.329358454458665e-05,5.395055660318952e-05,0.02212732316093742,,,,,,,,,,,,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,,,,,,,,,,,,,,,,,,,,,
7,132.0,124.0,,131.0,136.0,123.0,135.0,124.0,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.828629024797397e-05,0.0287384604846,7.828629024797397e-05,5.794735431834935e-05,6.86056143127603e-05,0.022968713841618662,,,,,,,,,,,,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,,,,,,,,,,,,,,,,,,,,,
8,99.0,94.0,94.0,95.0,92.0,95.0,91.0,86.0,99.0,0.0126614339471309,0.026370919519661456,0.019652717434471955,0.017410274066899545,0.023283061848543885,0.1822880777036817,0.02095896620401993,-0.0004392782643412494,0.09944500113739843,-0.04191793240803985,0.2725543862187551,0.19031104902420704,0.021133590879587945,0.004021955849942795,0.0017819179165795287,-0.01631107084392074,0.1822880777036817,0.19031104902420704,0.006506181606815873,2.983085978268023e-08,-1.147919052750824e-05,-0.0001015609149060006,0.0004322348392369656,0.25565406776776484,0.22774001148140469,0.24145579331073144,0.24145579331073144,0.18421254807511198,0.2731676788660628,0.2216503626614213,0.2778645998975801,0.1915498437611083,0.22512283654995244,0.21406237320462662,0.18737167997071538,0.20687880132439201,0.22774001148140469,0.24145579331073144,0.25565406776776484,0.24146946415247872,0.1964389300386999,0.26153920501651917,-0.025669183574861608,8.640002509770764e-05,0.034905941959105846,8.640002509770764e-05,6.87695975525003e-05,7.940095265624148e-05,0.02389423408593661,5.75887581626965e-05,5.6070089655950785e-05,5.960583177555237e-05,5.843441520622077e-05,6.13166260145132e-05,6.024908675074294e-05,6.418787386570736e-05,6.269338362856556e-05,5.1976981791701606e-05,5.131887866997475e-05,0.02133680317302266,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,304.25689697265625,0.0001253972796008414,6.418787386570736e-05,6.109344805428717e-10,9.05951064316706e-10,7.350956847927648e-10,9.872126835447354e-10,6.805488549519452e-10,7.998288363454711e-10,8.048164322449046e-10,7.04466668850824e-10,7.778081514112682e-10,9.383077842041685e-10,9.948179458274554e-10,1.053316017196831e-09,6.523555067879289e-10,5.307007169956447e-10,7.065760518925308e-10,9.621261035443767e-06,2.323946952819824,6.269338362856556e-05
9,78.0,80.0,80.0,71.0,83.0,85.0,89.0,98.0,75.0,0.004298452462503427,0.02326321625377698,0.016074329490655404,0.011917122931104186,0.012567202228044435,0.09333883194591222,0.014358520240634796,-0.00020616710350071916,0.08897043611605715,-0.028717040481269593,0.16714952235025488,0.09325631508516888,0.012664897099378293,0.0011810816344208636,0.003179989682240139,-0.0080774244115213,0.09333883194591222,0.09325631508516888,0.004979951590024501,4.0463686437851345e-08,-9.683214410135783e-06,-7.82156608645406e-05,0.0009620387418434129,0.1611101424082652,0.21372906900172559,0.1488470058090494,0.1488470058090494,0.17309791878733158,0.18984444711339013,0.1331599013352202,0.16757390788259627,0.13504890537282938,0.15133063882146258,0.10637354711542067,0.04914634432728516,0.11517782647111247,0.21372906900172559,0.1488470058090494,0.1611101424082652,0.05207098733969884,0.23840558343072327,0.16358731290449469,-0.032007662993929695,9.535654606259342e-05,0.039582886078539915,9.535654606259342e-05,8.049059576794036e-05,8.963332685970171e-05,0.02480473277556304,6.433422332242781e-05,6.283760237275939e-05,6.647988550021231e-05,6.541126591618085e-05,6.81069017332673e-05,6.729526341285532e-05,7.047079269705374e-05,6.958517199405927e-05,6.346239136565127e-05,6.318960129320923e-05,0.02106958093877439,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,304.2894287109375,9.55402079682512e-05,7.047079269705374e-05,7.164336415704843e-10,7.857457185518481e-10,5.511344890400855e-10,7.406054834435665e-10,5.968587897481164e-10,6.688171347219202e-10,4.934190237487537e-10,2.2796777861019287e-10,5.342581143149738e-10,1.0614069021279327e-09,7.391939714364544e-10,8.000943341664311e-10,2.0971460587236784e-10,9.601725552230562e-10,6.588438323183183e-10,5.622292826059847e-06,1.7795528173446655,6.958517199405927e-05
