,N_omega_500,N_pr,N_prQ,N_pr_sc,N_pr_scOGS09,N_pr_scOGS09ad,N_pr_scRH,N_pr_scRHad,N_qvstar_s,bias_sc,bias_scOGS09,bias_scOGS09ad,bias_scRH,bias_scRHad,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr,norm_var_pr_I25,norm_var_pr_I75,norm_var_pr_Ibnd,norm_var_pr_scOGS09_I25_prQ,norm_var_pr_scOGS09_I75_prQ,norm_var_pr_scOGS09_prQ,norm_var_pr_scOGS09ad_I25_prQ,norm_var_pr_scOGS09ad_I75_prQ,norm_var_pr_scOGS09ad_prQ,norm_var_pr_scRH_I25_prQ,norm_var_pr_scRH_I75_prQ,norm_var_pr_scRH_prQ,norm_var_pr_scRHad_I25_prQ,norm_var_pr_scRHad_I75_prQ,norm_var_pr_scRHad_prQ,norm_var_pr_sc_I25_prQ,norm_var_pr_sc_I75_prQ,norm_var_pr_sc_prQ,omega_500_prQ,percentiles,percentiles_omega_500,percentiles_pr,percentiles_pr_sc,percentiles_pr_scOGS09,percentiles_qvstar_s,pr_scOGS09_prQ,pr_scOGS09_vQ,pr_scOGS09ad_prQ,pr_scOGS09ad_vQ,pr_scRH_prQ,pr_scRH_vQ,pr_scRHad_prQ,pr_scRHad_vQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_omega_500,ranks_pr,ranks_pr_sc,ranks_pr_scOGS09,ranks_qvstar_s,ranks_ref,ts_prQ,var_omega_500_prQ,var_prQ,var_pr_scOGS09_I25_prQ,var_pr_scOGS09_I75_prQ,var_pr_scOGS09_prQ,var_pr_scOGS09ad_I25_prQ,var_pr_scOGS09ad_I75_prQ,var_pr_scOGS09ad_prQ,var_pr_scRH_I25_prQ,var_pr_scRH_I75_prQ,var_pr_scRH_prQ,var_pr_scRHad_I25_prQ,var_pr_scRHad_I75_prQ,var_pr_scRHad_prQ,var_pr_sc_I25_prQ,var_pr_sc_I75_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ,var_vQ
0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.00036537050251331384,-0.00026344405446200207,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.534799777135449e-06,-0.03640931937596528,2.534799777135449e-06,-4.507370764360215e-05,-4.658368810967155e-05,0.012587520483861313,,,,,,,,,,,,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,,,,,,,,,,,,,,,,,,,,,
2,24498.0,13583.0,,23265.0,24929.0,24934.0,24895.0,24903.0,19263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.633307063935398e-06,-0.022691875558676126,7.633307063935398e-06,-2.8418887230913478e-05,-2.8430349603217548e-05,0.01442024008653919,,,,,,,,,,,,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,,,,,,,,,,,,,,,,,,,,,
3,13534.0,12600.0,,12955.0,13228.0,13341.0,13331.0,13358.0,12421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3772286161844171e-05,-0.012489594780021996,1.3772286161844171e-05,-1.6148629474336132e-05,-1.2519696993399228e-05,0.01541772139240846,,,,,,,,,,,,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,,,,,,,,,,,,,,,,,,,,,
4,10314.0,10280.0,,9763.0,10275.0,10296.0,10256.0,10256.0,10212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1963927245350373e-05,-0.0025366464758435556,2.1963927245350373e-05,-3.840108293628042e-06,4.9851716988982045e-06,0.016100383693113157,,,,,,,,,,,,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,,,,,,,,,,,,,,,,,,,,,
5,8133.0,7740.0,,7779.0,8006.0,8006.0,7984.0,8054.0,7740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.334458471765144e-05,0.008059823765998722,3.334458471765144e-05,9.61748535551965e-06,2.4411258274780032e-05,0.016671275214481415,,,,,,,,,,,,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,,,,,,,,,,,,,,,,,,,,,
6,6321.0,6268.0,,5944.0,6362.0,6254.0,6353.0,6291.0,6126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.677162173066637e-05,0.019967417840702155,4.677162173066637e-05,2.535741820050696e-05,4.490625761078016e-05,0.01723373525926513,,,,,,,,,,,,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,,,,,,,,,,,,,,,,,,,,,
7,5095.0,5093.0,,4822.0,5046.0,5061.0,5045.0,5032.0,4856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.209714946322977e-05,0.03311202163443838,6.209714946322977e-05,4.3851633367317066e-05,6.618599505258177e-05,0.01782767872366122,,,,,,,,,,,,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,,,,,,,,,,,,,,,,,,,,,
8,4013.0,3914.0,3914.0,3779.0,4010.0,4054.0,4005.0,4051.0,3888.0,-0.05003156027876345,0.031582585509534564,0.022390945059809465,0.03840198074637473,0.030120644577160474,1.202938600876688,0.02934758187683351,-0.0008612805620174464,0.21673938380463476,-0.05869516375366701,1.6875028045488893,1.4507490331269652,0.032467964225389306,0.04710286770758443,0.09159163406628952,-0.35706239353126606,1.202938600876688,1.4507490331269652,0.017660327214699335,3.420084569778679e-08,-1.1657940336822767e-05,-0.0018655096147201765,0.020063622783538845,0.5661878419020132,0.5724946686570694,0.5598306125228967,0.5598306125228967,0.7279181021670378,0.6931444332521508,0.7050535643967466,0.6502054697337679,0.6789415536231308,0.6457121995158146,0.732387330311034,0.736463517625278,0.7002350233123091,0.5724946686570694,0.5598306125228967,0.5661878419020132,1.871206538364352,1.7420833615035298,1.7480031583999107,-0.023850628782889623,7.791622351121425e-05,0.04702743385327703,7.791622351121425e-05,6.407940707592426e-05,8.658334993768601e-05,0.018572404641036655,4.915739709650621e-05,4.7604879399279654e-05,5.192155840723772e-05,5.075898564552157e-05,4.52637012126903e-05,4.352548543021091e-05,4.215883829608537e-05,4.0888986911983e-05,3.2072061781469264e-05,3.367667707375307e-05,0.016655193106419927,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,299.955810546875,0.0008252622047037121,4.215883829608537e-05,1.7589774718200024e-09,1.6749486503746777e-09,1.703726466628912e-09,1.7528552630510988e-09,1.8303233838676956e-09,1.7407420884986373e-09,1.5005171013159778e-09,1.5088684046769914e-09,1.4346433696146673e-09,1.0175335018507721e-09,9.950248182047442e-10,1.0063239520244093e-09,1.9247551307798757e-09,1.7919368169967758e-09,1.7980260215906436e-09,9.006465787542795e-06,5.9589009284973145,4.0888986911983e-05
9,3175.0,3284.0,3284.0,3051.0,3231.0,3197.0,3210.0,3157.0,3051.0,-0.038155431488979624,0.005724255809297123,0.012228948924261362,0.010886020127722463,0.02315734020205498,0.44252608412180794,0.01866808704478139,-0.0003484974739115347,0.14432278463833983,-0.037336174089562774,0.7291692928937641,0.5798074052351184,0.02704366015895571,0.015680114424824455,0.07207036746792342,-0.22597760904875117,0.44252608412180794,0.5798074052351184,0.01662592046751727,6.105458656387304e-08,-1.2142035958626352e-05,-0.0031613142873362335,0.025832570643428657,0.2850544152838759,0.2761389075005436,0.2660159638713168,0.2660159638713168,0.3158258956836489,0.29990643299705083,0.3112817065124548,0.2991898795477576,0.27822842080925775,0.30790168677962887,0.2969405629518121,0.3190843377242537,0.31330158037525746,0.2761389075005436,0.2660159638713168,0.2850544152838759,0.7658335737952141,0.7738612000387814,0.7247399110605367,-0.039029355119974664,9.465398384377907e-05,0.06121492722461502,9.465398384377907e-05,8.522655900126459e-05,0.00010608660172553817,0.019472597301770884,6.599642412471152e-05,6.56186437105228e-05,7.054104415200872e-05,6.967840132600974e-05,6.082530500440418e-05,6.016315950985138e-05,5.855768633407259e-05,5.720164607018925e-05,5.311400425841004e-05,5.5140592008997174e-05,0.016664808290218037,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,299.9440002441406,0.0008832151476395758,5.855768633407259e-05,1.375588530906313e-09,1.3062508654736775e-09,1.3557961877463822e-09,1.4887804821245034e-09,1.3844754478302022e-09,1.5321307738871989e-09,1.0985962651760694e-09,1.1805219812859707e-09,1.1591274114000852e-09,9.468810397332223e-10,9.121694394174133e-10,9.774523393593524e-10,2.160491140903936e-09,2.183137856816071e-09,2.0445619138192726e-09,7.510452671958321e-06,5.608990669250488,5.720164607018925e-05
