,N_prQ,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr_sc_prQ,omega_500_prQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_ref,ts_prQ,var_omega_500_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ
0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,20.567176527571853,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,36.90426555198067,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,49.88127663727278,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,60.18928294465028,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,68.3772233983162,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,74.8811356849042,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,80.0473768503112,,,,,
8,4838.0,3.080308451118209,-0.04960322059055863,-0.00246047949295562,-0.6150547365867526,0.09920644118111727,3.699293166553647,4.127694693220821,0.017533658614714436,0.07237358961670232,0.19213358983407985,-1.265179938192362,3.080308451118209,4.127694693220821,0.025660106255670355,-7.699783130132418e-08,1.7550610891538415e-05,-0.0027670927514350896,0.02585170984412462,4.095517993440187,-0.01625494275377382,2.0028833188182885e-08,2.1074180407711846e-08,0.021766916863657133,84.15106807538886,299.499755859375,0.0010906325515735358,1.6429340758366334e-15,8.307424127491129e-06,7.032658100128174
9,3886.0,0.7753930221585761,-0.03556674636007613,-0.0012649934466419886,-0.23299930812236988,0.07113349272015226,0.9397791105327546,1.0696184297725644,0.016085810374576334,0.017205679234473564,0.11843064800201142,-0.43858274838089184,0.7753930221585761,1.0696184297725644,0.025926692764892102,-1.1769308527331209e-07,2.527797593345082e-05,-0.003851406607445362,0.03193524032704708,1.010372307355174,-0.03256579938738403,4.082617241450384e-08,4.233177595278822e-08,0.021824103621024885,87.41074588205832,299.5493469238281,0.0011343638128556673,1.6840646706550136e-15,7.66153473370451e-06,7.110428810119629
10,2980.0,0.33605778252771573,-0.03154850610010537,-0.0009953082371483859,-0.17845816464871214,0.06309701220021074,0.4144196114988799,0.5090436134900151,0.014401478194691269,0.007330980499823303,0.09260081496290452,-0.2886602916223525,0.33605778252771573,0.5090436134900151,0.02307364569714859,-2.1735722552964433e-07,3.481750358574687e-05,-0.006105195478111629,0.038757598789894536,0.44185986183149917,-0.05053246385254049,6.365976541845706e-08,6.573356107088347e-08,0.02183978485735608,90.0,299.5932312011719,0.0012998580889821585,1.7906661349052076e-15,6.869162381355207e-06,6.331686019897461
11,2432.0,0.20084591426943832,-0.021251001165460606,-0.00045160505053440814,-0.11244819409925814,0.04250200233092122,0.23834160447106592,0.2917503067943275,0.013151995711749223,0.0038370987838605157,0.0608782870912292,-0.17282209695041528,0.20084591426943832,0.2917503067943275,0.021039417334296897,-2.395382434931156e-07,3.1016342435478955e-05,-0.006324277566328388,0.03353043471838563,0.24880390763190005,-0.06644080601409835,8.50845780087102e-08,8.693196939156617e-08,0.021967280489755988,92.05671765275719,299.7209777832031,0.0012878969246414985,1.8011873800855524e-15,6.3466456228002065e-06,5.783322811126709
12,1917.0,0.10498391569376025,-0.022537754163265897,-0.0005079503627238093,-0.10467483880066877,0.045075508326531795,0.13242868264465035,0.1760161366323433,0.014047279059005295,0.002472547790162531,0.06116907278937835,-0.15509576428203642,0.10498391569376025,0.1760161366323433,0.022894470554075005,-3.766816459143199e-07,4.2753996438008286e-05,-0.009670754730160559,0.04396628197232341,0.1386060142174175,-0.08675062016522031,1.1044203540299821e-07,1.129885434178144e-07,0.021867215814402468,93.69042655519807,299.6427917480469,0.0013246393764043832,1.6906389833717015e-15,6.717059454697838e-06,6.286676406860352
13,1496.0,0.06966032620644777,-0.018888197322284802,-0.0003567639980855668,-0.08638316716236258,0.037776394644569604,0.10044857863371967,0.1331978069809713,0.0143084535363023,0.0019058546323245896,0.05349596101838155,-0.1421493331060833,0.06966032620644777,0.1331978069809713,0.025115891313178203,-4.622758158616283e-07,4.369447609757805e-05,-0.013058512358459742,0.04668493968760938,0.10435344604127185,-0.10526719956822081,1.3518324159814365e-07,1.3778576634099454e-07,0.02197571204992697,94.98812766372727,299.7281799316406,0.0014759893149715773,1.907007968928858e-15,6.910008939966783e-06,6.904529094696045
14,1251.0,0.05965794629111421,-0.015257797413087026,-0.0002328003818988051,-0.06781152870120186,0.03051559482617405,0.07140788824972863,0.09546214694253123,0.012300265784383042,0.001174209779740963,0.03888062322100598,-0.09386130609331948,0.05965794629111421,0.09546214694253123,0.019176482220896483,-5.123515781491723e-07,4.1939583757907796e-05,-0.012151953723306769,0.040289393544458596,0.07363784806603103,-0.12494014373412803,1.6122157257034005e-07,1.6371957264227302e-07,0.022000384468689894,96.01892829446503,299.7947082519531,0.0014901678860841862,1.9140240679068845e-15,5.953536720410715e-06,5.276427268981934
15,937.0,0.042797228491211516,-0.011702646450872817,-0.00013695193395412612,-0.0511036620128542,0.02340529290174563,0.050287903368591645,0.06581762068499561,0.011545693643861864,0.000759910084796865,0.029712579114355132,-0.07175823827587917,0.042797228491211516,0.06581762068499561,0.019025266967739943,-5.098189276808929e-07,3.696290118342015e-05,-0.012176128451119903,0.0352556578259899,0.05148589472201532,-0.14300426222993362,1.8592505969949815e-07,1.8812663924659187e-07,0.02208680946772027,96.83772233983163,299.85821533203125,0.0013459847581154083,1.779770989897119e-15,5.632302853499653e-06,5.239257335662842
16,786.0,0.037725508197424804,-0.009739912617087095,-9.486589778849239e-05,-0.04304539238256953,0.01947982523417419,0.042632867075783884,0.05429519842957,0.011380210884266134,0.0006178908081315821,0.024302181555878172,-0.0583044069503532,0.037725508197424804,0.05429519842957,0.017432535162329833,-5.656873312832837e-07,3.530855556588182e-05,-0.012915980066594177,0.03296350874001141,0.04347564060095676,-0.16331941353733845,2.1381713037593475e-07,2.159201740029901e-07,0.022196631857427446,97.48811356849042,300.0000915527344,0.001448228361116718,1.9876091307487774e-15,5.606921401632489e-06,4.809736251831055
