,N_omega_500,N_pr,N_prQ,N_pr_sc,N_pr_scOGS09,N_pr_scOGS09ad,N_pr_scRH,N_pr_scRHad,N_qvstar_s,bias_sc,bias_scOGS09,bias_scOGS09ad,bias_scRH,bias_scRHad,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr,norm_var_pr_I25,norm_var_pr_I75,norm_var_pr_Ibnd,norm_var_pr_scOGS09_I25_prQ,norm_var_pr_scOGS09_I75_prQ,norm_var_pr_scOGS09_prQ,norm_var_pr_scOGS09ad_I25_prQ,norm_var_pr_scOGS09ad_I75_prQ,norm_var_pr_scOGS09ad_prQ,norm_var_pr_scRH_I25_prQ,norm_var_pr_scRH_I75_prQ,norm_var_pr_scRH_prQ,norm_var_pr_scRHad_I25_prQ,norm_var_pr_scRHad_I75_prQ,norm_var_pr_scRHad_prQ,norm_var_pr_sc_I25_prQ,norm_var_pr_sc_I75_prQ,norm_var_pr_sc_prQ,omega_500_prQ,percentiles,percentiles_omega_500,percentiles_pr,percentiles_pr_sc,percentiles_pr_scOGS09,percentiles_qvstar_s,pr_scOGS09_prQ,pr_scOGS09_vQ,pr_scOGS09ad_prQ,pr_scOGS09ad_vQ,pr_scRH_prQ,pr_scRH_vQ,pr_scRHad_prQ,pr_scRHad_vQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_omega_500,ranks_pr,ranks_pr_sc,ranks_pr_scOGS09,ranks_qvstar_s,ranks_ref,ts_prQ,var_omega_500_prQ,var_prQ,var_pr_scOGS09_I25_prQ,var_pr_scOGS09_I75_prQ,var_pr_scOGS09_prQ,var_pr_scOGS09ad_I25_prQ,var_pr_scOGS09ad_I75_prQ,var_pr_scOGS09ad_prQ,var_pr_scRH_I25_prQ,var_pr_scRH_I75_prQ,var_pr_scRH_prQ,var_pr_scRHad_I25_prQ,var_pr_scRHad_I75_prQ,var_pr_scRHad_prQ,var_pr_sc_I25_prQ,var_pr_sc_I75_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ,var_vQ
0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.00021150826603975702,-0.00022383746870220935,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.766934097299647e-06,-0.030989063574740343,4.766934097299647e-06,-3.809394894153259e-05,-3.983551707779474e-05,0.013029694008321466,,,,,,,,,,,,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,20.567176527571853,,,,,,,,,,,,,,,,,,,,,
2,8173.0,4846.0,,7711.0,8434.0,8387.0,8448.0,8401.0,5800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0926925963871329e-05,-0.01989554710586368,1.0926925963871329e-05,-2.4747780386805204e-05,-2.3380997367482514e-05,0.014559309813692278,,,,,,,,,,,,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,36.90426555198067,,,,,,,,,,,,,,,,,,,,,
3,4461.0,4312.0,,4232.0,4315.0,4401.0,4299.0,4383.0,4635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8841789576012457e-05,-0.010360363201398543,1.8841789576012457e-05,-1.3563086788766158e-05,-7.65649965147559e-06,0.015453126801093335,,,,,,,,,,,,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,49.88127663727278,,,,,,,,,,,,,,,,,,,,,
4,3473.0,3343.0,,3302.0,3449.0,3402.0,3453.0,3405.0,3163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98112978280509e-05,-0.0003586365676147672,2.98112978280509e-05,-1.7040073280617748e-06,9.288269840716537e-06,0.01618434309637401,,,,,,,,,,,,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,60.18928294465028,,,,,,,,,,,,,,,,,,,,,
5,2652.0,2625.0,,2480.0,2653.0,2644.0,2641.0,2649.0,2596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.204698781898551e-05,0.01029460878680773,4.204698781898551e-05,1.1783444115753176e-05,2.7257599170754177e-05,0.016770642330361976,,,,,,,,,,,,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,68.3772233983162,,,,,,,,,,,,,,,,,,,,,
6,2124.0,2081.0,,2039.0,2105.0,2127.0,2113.0,2109.0,2075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.534628084144258e-05,0.02212483844015549,5.534628084144258e-05,2.742773111251238e-05,4.507375249531834e-05,0.017265818798119198,,,,,,,,,,,,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,74.8811356849042,,,,,,,,,,,,,,,,,,,,,
7,1681.0,1700.0,,1602.0,1688.0,1662.0,1679.0,1669.0,1611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.822086499292841e-05,0.03398934462130574,6.822086499292841e-05,4.370144890449028e-05,6.234667557167551e-05,0.01781015539621266,,,,,,,,,,,,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,80.0473768503112,,,,,,,,,,,,,,,,,,,,,
8,1361.0,1352.0,1352.0,1260.0,1322.0,1371.0,1329.0,1373.0,1234.0,-0.045663109771197606,0.022438081711291955,0.019228364074158802,0.01619930874436563,0.019863553790274113,0.47704804244231847,0.024865247946511595,-0.0006182805554414989,0.1567308936297315,-0.04973049589302318,0.7208145503303132,0.5719255695836754,0.027041269884444333,0.01546559368092671,0.04949908791360946,-0.15388354183690928,0.47704804244231847,0.5719255695836754,0.009506926781942907,3.846999549184298e-08,-1.2319031252746556e-05,-0.0012560091093425279,0.013548721841238669,0.341911399556191,0.33021335581397737,0.33152948488990014,0.33152948488990014,0.38772515726491164,0.3919516024338787,0.3698671549958844,0.3404559105418757,0.32755565205899373,0.3431244820557526,0.3831663195048485,0.3929909081246813,0.36529176563887056,0.33021335581397737,0.33152948488990014,0.341911399556191,0.7314055169531455,0.6656853542911517,0.7150985673317192,-0.029819440147629418,8.089979127161546e-05,0.04621176805588319,8.089979127161546e-05,6.061969580937892e-05,7.950323204887096e-05,0.018415538155125227,5.184751306717319e-05,5.068415433244468e-05,5.4965247621850616e-05,5.390835582915138e-05,5.072249919618628e-05,4.990082977142142e-05,5.064587983589272e-05,4.963987267751671e-05,3.930579577987828e-05,4.110062064721914e-05,0.01661438528152777,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,84.15106807538886,299.8687744140625,0.0005085556506781632,5.064587983589272e-05,1.0422690466511457e-09,1.0536304269857545e-09,9.942637969239122e-10,1.0285780587871396e-09,9.896040759091334e-10,1.0366402895268245e-09,9.857995493154314e-10,1.0110759750883344e-09,9.398123989623785e-10,8.469989563964854e-10,8.50374834246858e-10,8.770044987741144e-10,1.1299817219863662e-09,1.0284476470406598e-09,1.104788372214649e-09,7.464412601679667e-06,3.204080581665039,4.963987267751671e-05
9,1036.0,1095.0,1095.0,985.0,1068.0,1089.0,1068.0,1079.0,1033.0,-0.04175723030666774,0.010775297962845482,0.013331229673847651,0.006103874560854214,0.013929148542840988,0.26173829623287515,0.01766486712718651,-0.0003120475306211545,0.1032847220759214,-0.03532973425437302,0.42601803091392354,0.32791990975749985,0.02293450127655519,0.0075206795889412445,0.04316331181866665,-0.11887067376465796,0.26173829623287515,0.32791990975749985,0.009525748421366574,4.782399570253099e-08,-1.2020298753650992e-05,-0.0018630657105517844,0.016370726481064933,0.20337245145910549,0.2034446061030582,0.19033999548764233,0.19033999548764233,0.19270719782984963,0.23094047672806595,0.20657225561532153,0.21807837171772687,0.21095617700262734,0.2036244619462183,0.17560436092719242,0.21920763817307276,0.20153824249165014,0.2034446061030582,0.19033999548764233,0.20337245145910549,0.4004077882953593,0.3493180868068945,0.4088705091021765,-0.04132380044937013,9.48275577020964e-05,0.05804497724839064,9.48275577020964e-05,7.765241880170423e-05,9.546936200107573e-05,0.019133594251415934,6.584686816657897e-05,6.513734854216388e-05,6.986111032244793e-05,6.892977581546937e-05,6.441059306696105e-05,6.401743888649009e-05,6.440601098112327e-05,6.350889008711536e-05,5.418798234412539e-05,5.645072240272268e-05,0.01646662635548836,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,87.41074588205832,299.8519592285156,0.0005599745599921543,6.440601098112327e-05,8.355418045467155e-10,1.0013140393366153e-09,8.956580614000089e-10,1.0643477913612967e-09,1.0295873877735755e-09,9.938044045014887e-10,7.285341143516141e-10,9.094320989086494e-10,8.361266441584075e-10,8.439155386556934e-10,7.895558545224134e-10,8.436162315057804e-10,1.1757323762462923e-09,1.0257157734512498e-09,1.2005817801154515e-09,6.218685056535434e-06,3.2097039222717285,6.350889008711536e-05
