,N_prQ,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr_sc_prQ,omega_500_prQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_ref,ts_prQ,var_omega_500_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ
0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,20.567176527571853,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,36.90426555198067,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,49.88127663727278,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,60.18928294465028,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,68.3772233983162,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,74.8811356849042,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,80.0473768503112,,,,,
8,24200.0,1.7688127296696439,-0.06937986981659418,-0.004813566335767556,-0.4083340554734285,0.13875973963318836,2.0861535948041667,2.2197261258003698,0.04373519537932753,0.09708015580047695,0.17910496420712904,-0.6670045177286886,1.7688127296696439,2.2197261258003698,0.03698615739083363,-1.1410258831284831e-07,3.667527910976937e-05,-0.0030608456030045287,0.03496561404902883,2.4088036222263525,-0.023506020548717005,3.026610069971938e-08,3.2522508076151936e-08,0.022488517964758124,84.15106807538886,300.0014953613281,0.0012264719399877856,2.2065528861439294e-15,2.2118350819247835e-05,10.204883575439453
9,19120.0,0.6884939410609358,-0.05076289637991567,-0.002576871648878055,-0.2470164089937066,0.10152579275983134,0.8262644798493337,0.8987067072834772,0.03982988007495302,0.03579538037365681,0.12576010031399912,-0.3700709737763587,0.6884939410609358,0.8987067072834772,0.03409810723981812,-1.803933794227716e-07,4.338042365404857e-05,-0.004353564583323005,0.0393345553685805,0.9170007108454705,-0.037612188008702474,4.990754235634685e-08,5.257647658947969e-08,0.022720547741633613,87.41074588205832,300.1909484863281,0.0012713794270665085,2.2840312435218024e-15,2.056111171984625e-05,9.4318265914917
10,15060.0,0.3511220680166882,-0.035710763456510676,-0.0012752586266468584,-0.17385112246527637,0.07142152691302135,0.4203324058673833,0.47647315108190963,0.03221467923715523,0.015349429727220322,0.08879274409268677,-0.24418173683977543,0.3511220680166882,0.47647315108190963,0.030037909681867224,-2.4076910186428873e-07,4.202529414656262e-05,-0.005456654667826872,0.03828137387401708,0.4520414249376124,-0.05183263092243342,6.981729671592875e-08,7.240285805345085e-08,0.02270431342880929,90.0,300.2268981933594,0.0012801030730205433,2.2034555481564413e-15,1.660621125342721e-05,8.312722206115723
11,12269.0,0.21809454478561408,-0.026513857518809636,-0.0007029846405277384,-0.12524576050263098,0.05302771503761928,0.26020100058160733,0.2964158858441397,0.0283135568175381,0.008392588025468939,0.06539315790937562,-0.1704895584561659,0.21809454478561408,0.2964158858441397,0.02677505948826465,-2.8312919742580915e-07,3.986426213674997e-05,-0.0061945095142596955,0.035958187824225704,0.2745676804361856,-0.06607598595248754,9.005019731505972e-08,9.250280346625445e-08,0.022754492810316874,92.05671765275719,300.3012390136719,0.0012941624047335901,2.226479764245441e-15,1.4659823760424028e-05,7.417099475860596
12,9511.0,0.15742277912188585,-0.018342774869073094,-0.00033645738989749945,-0.08136129238450607,0.03668554973814619,0.1837317771351204,0.20020485314766587,0.023778544095089248,0.0047605799286226415,0.04509041311864565,-0.11104752134653097,0.15742277912188585,0.20020485314766587,0.023175034202105302,-2.711348879477018e-07,3.348488550104433e-05,-0.005916144334073913,0.030033064705070105,0.190662174109131,-0.07998608753609467,1.1025231901255634e-07,1.1231244082969146e-07,0.022822821225743185,93.69042655519807,300.39776611328125,0.0012808654440491483,2.317608137336375e-15,1.2385795838287685e-05,6.428095817565918
13,7777.0,0.1166069226356733,-0.013885110975932228,-0.00019279630681395363,-0.061015099571860354,0.027770221951864456,0.13389354705140402,0.1445524807688908,0.019901874830606903,0.0028768653787161758,0.033773646206924635,-0.08145906193665722,0.1166069226356733,0.1445524807688908,0.019739857596515083,-2.7847254848240147e-07,2.9663465541342754e-05,-0.0059104390845412325,0.026260307401166166,0.13769070215201606,-0.09331650939601137,1.296116775836882e-07,1.3143669061924573e-07,0.022893597724213822,94.98812766372727,300.488525390625,0.0012587587997958422,2.313091848939515e-15,1.0430907283736403e-05,5.481895446777344
14,6035.0,0.09112160590504201,-0.011643564296101114,-0.00013557258951744057,-0.04971562167643499,0.023287128592202225,0.10537135925699789,0.11002044049020139,0.019742865663688797,0.0021721187768579137,0.028097777508008303,-0.06603179547354202,0.09112160590504201,0.11002044049020139,0.019035183380374333,-2.995253407759136e-07,2.857960972781836e-05,-0.006301633086846795,0.025059757789024237,0.10786868720987342,-0.10700279119883774,1.4925470346096934e-07,1.5101303342520497e-07,0.022939040158453862,96.01892829446503,300.5391845703125,0.0012596897410595456,2.402987131936607e-15,1.0388687292323349e-05,5.289768218994141
15,4856.0,0.07024580749919147,-0.008802595158113893,-7.748568151765018e-05,-0.0387343917789243,0.017605190316227787,0.07940162069374308,0.08379435384975202,0.015513970827104134,0.0012999831611010938,0.02101828647093432,-0.050359278361792145,0.07024580749919147,0.08379435384975202,0.015792445540297278,-3.0159193077098024e-07,2.456248016091736e-05,-0.006231526175324896,0.02134639432108953,0.08081817784411012,-0.1218393868613192,1.7016323280726034e-07,1.716744131653618e-07,0.022902019680498452,96.83772233983163,300.5494689941406,0.001243913456608657,2.340132833627073e-15,8.137116568231315e-06,4.389230728149414
16,3753.0,0.05943491976168021,-0.007787186424743435,-6.0640272413708435e-05,-0.03441161647968708,0.01557437284948687,0.06760882227417854,0.0696396680589052,0.015768897341378693,0.0010981407765085652,0.018740165985078203,-0.04486491152122804,0.05943491976168021,0.0696396680589052,0.015919997238924843,-3.253309404858214e-07,2.3943670047358283e-05,-0.006736916402753261,0.020966530983403214,0.06867421569135447,-0.1342150432444091,1.876977479128086e-07,1.8917085663958958e-07,0.022909148726222767,97.48811356849042,300.55377197265625,0.0012544665448170457,2.4194231494082632e-15,8.275976126503552e-06,4.4249348640441895
