,N_prQ,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr_sc_prQ,omega_500_prQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_ref,ts_prQ,var_omega_500_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ
0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,20.567176527571853,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,36.90426555198067,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,49.88127663727278,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,60.18928294465028,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,68.3772233983162,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,74.8811356849042,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,80.0473768503112,,,,,
8,81.0,714.4958716213339,0.8002567649786894,-0.6404108898941573,-138.30397803842658,-1.6005135299573787,773.8870348661353,882.8543995566984,0.03572708104813749,31.54181068666692,-2.9457017925034763,-165.44423205550942,714.4958716213339,882.8543995566984,0.03140591264843412,-1.3260056720373676e-07,2.477905325621375e-05,-0.0026658077444204203,0.034066458118370564,238.7858939646567,0.0013932818866526251,-3.0827333740630273e-09,-1.7123853852589296e-09,0.022223699896901403,84.15106807538886,299.9133605957031,0.001713827344448931,2.26924086615758e-15,1.7645349420435485e-05,8.655055046081543
9,81.0,6.006197137193377,-0.027214192563126485,-0.0007406122768629289,-0.6994731068222241,0.05442838512625297,6.618973654276154,7.098989670978631,0.020467900812907912,0.14530141645744837,0.10450564498055821,-1.2195840960407036,6.006197137193377,7.098989670978631,0.022285917274890744,-7.00294570212231e-08,8.6109352234357e-06,-0.001998264606204271,0.01219932549977236,6.994492371937526,-0.01403605865834513,1.702230046957713e-08,1.749850824245475e-08,0.022542895314677788,87.41074588205832,300.20758056640625,0.0013985786470166906,2.0267151097153723e-15,1.040142141471366e-05,6.1658406257629395
10,49.0,0.8866616136621974,-0.05575652654512132,-0.0031087902523768193,-0.26215093643802184,0.11151305309024265,1.1325616745260596,1.2224173824202016,0.028748409822297642,0.035142555883716314,0.18612057892246037,-0.5550646780293328,0.8866616136621974,1.2224173824202016,0.033188330348868325,-2.5066374273333954e-07,5.4521244948315444e-05,-0.009067581852792298,0.06846839381953337,1.2702636714380195,-0.04440707293010575,5.106227998671159e-08,5.407745080819099e-08,0.02202002995653046,90.0,299.6180725097656,0.0024105925634172417,3.3120301609717747e-15,1.393957838138855e-05,9.110298156738281
11,44.0,0.84624451352527,0.027457325993581517,-0.0007539047507178074,0.5080535155644891,-0.054914651987163034,1.1158054089268836,0.6274225191059938,0.02211959744421928,0.013878333550062565,-0.009380086441572733,0.2022077260184292,0.84624451352527,0.6274225191059938,0.02599435484241975,8.862648549504781e-07,-3.6264798888398553e-05,0.005479482860521631,-0.004459175990883819,1.056965656318146,-0.05700251993652072,7.504763039985893e-08,7.304208992552141e-08,0.02317037049349119,92.05671765275719,300.62359619140625,0.002038676009960416,5.95298576920712e-15,1.1875261323441448e-05,7.2318010330200195
12,35.0,0.3461913394870569,-0.03343822668275304,-0.0011181150036871778,-0.17815866262929922,0.06687645336550609,0.44926546246715116,0.528084361241511,0.021976159395962157,0.011605266097158309,0.09912521541699164,-0.3171994722383835,0.3461913394870569,0.528084361241511,0.036181235066937704,-6.020132070241005e-07,6.146710727251654e-05,-0.017859969492387582,0.06778137751751119,0.4808878483104357,-0.08234211351307064,9.825967205485872e-08,1.0165896765980184e-07,0.022324283417726833,93.69042655519807,299.9841613769531,0.003580530079403583,4.642954455839738e-15,1.0952338334151378e-05,9.980489730834961
13,30.0,0.14722734627631504,-0.009317610997345781,-8.681787469785904e-05,-0.0570549840306045,0.018635221994691562,0.15121013938547279,0.16965124665741094,0.01715509019976259,0.0029103824389100563,0.02168118305189586,-0.06939517875801386,0.14722734627631504,0.16965124665741094,0.025290095325022115,-3.4648103430154734e-07,2.29613550742255e-05,-0.007177289617475756,0.020088779868503583,0.15406785216941052,-0.11162477300090971,1.3501236347598573e-07,1.3628218788859896e-07,0.022076608231684988,94.98812766372727,299.9170837402344,0.002113869793057633,2.808400929169058e-15,8.360990066323906e-06,6.9699625968933105
14,19.0,0.13537931143400633,-0.0032660612602695258,-1.0667156155833362e-05,-0.005151327332252333,0.0065321225205390515,0.13966466750293985,0.12347979248474367,0.013186482823425126,0.0016282641626401714,0.015570861879852231,-0.02441664226878855,0.13537931143400633,0.12347979248474367,0.020745299338198974,-5.006556249248636e-08,1.0182028368021172e-05,-0.0038213257517982673,0.01777686324880869,0.14058146324052262,-0.13708364431826614,1.7184439845815038e-07,1.724074918883873e-07,0.022741773764050642,96.01892829446503,300.4170837402344,0.0023204230660157105,4.151440518045611e-15,6.8198942907242224e-06,5.755636692047119
15,22.0,0.0697770074941752,-0.023874057518757295,-0.0005699706224089316,-0.10434265323447907,0.04774811503751459,0.09306111722442106,0.1366383876883248,0.01195387952988562,0.0016333588255840411,0.059502770916742734,-0.1424316635591508,0.0697770074941752,0.1366383876883248,0.016067512448258443,-1.2517121454855844e-06,8.268896025707255e-05,-0.0267161132938559,0.07445296733689082,0.09766895740158578,-0.14990699855563497,1.869705941128539e-07,1.915435150074876e-07,0.023104649597159035,96.83772233983163,300.75140380859375,0.0030705526345862146,3.41431171199621e-15,6.381277743832979e-06,4.477694511413574
16,14.0,0.04989460080530615,-0.031400108776958736,-0.0009859668312048406,-0.12488894659228883,0.06280021755391746,0.08666211389252662,0.12908231500313094,0.018293170023582037,0.002361324735389849,0.07998499086805796,-0.1844132545759191,0.04989460080530615,0.12908231500313094,0.02524054951003633,-2.027341652036228e-06,0.00012651226259534373,-0.04856483299240444,0.1184302099625765,0.09237202116881969,-0.17785896775720592,2.1582017677278327e-07,2.2281664361976057e-07,0.022652998846035256,97.48811356849042,300.3553161621094,0.004083365738471696,4.3025362123315555e-15,9.387293068473019e-06,6.997054576873779
