,N_prQ,contrib,contribQOmega_bias_covQOmega,contribQOmega_var_cov2QOmega,contribQOmega_var_covQ2Omega2,contribQOmega_var_covQOmega,contribQOmega_var_sum,contribQOmega_var_varOmega,contribQOmega_var_varQ,contribQOmega_var_varQvarOmega,contribTOmega_var_covTOmega,contribTOmega_var_covTOmega2,contribTOmega_var_sum,contribTOmega_var_varOmega,contribTOmega_var_varT,cov_qvstar_s_2_omega_500_2_prQ,cov_qvstar_s_omega_500_prQ,cov_ts_omega_500_2_prQ,cov_ts_omega_500_prQ,norm_var_pr_sc_prQ,omega_500_prQ,pr_sc_prQ,pr_sc_vQ,qvstar_s_prQ,ranks_ref,ts_prQ,var_omega_500_prQ,var_pr_sc_prQ,var_qvstar_s_prQ,var_ts_prQ
0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,20.567176527571853,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,36.90426555198067,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,49.88127663727278,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,60.18928294465028,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,68.3772233983162,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,74.8811356849042,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,80.0473768503112,,,,,
8,199.0,5.124361118317498,-0.012752164173231313,-0.00016261769110104428,-0.7376420380622879,0.025504328346462626,5.404430443588227,6.014208444280065,0.0146163786733047,0.08790594804178418,-0.014531929182578465,-0.8964379830650817,5.124361118317498,6.014208444280065,0.021122586285093593,-7.531400879503161e-08,-4.074731044192694e-06,-0.0016635090712563058,0.0017999322280111843,5.544948935100291,0.014982077639316405,-1.8060515387214884e-08,-1.8293800940156164e-08,0.021327650216686832,84.15106807538886,299.313720703125,0.001349965167404057,1.8086637315452237e-15,6.6485326362143495e-06,5.774691104888916
9,175.0,25.145380843244876,0.056023619269686374,-0.0031386459160747744,1.559267757373994,-0.11204723853937275,27.49142302224152,25.54778902143406,0.01881708972018662,0.4807350381687234,0.09371618772532292,-0.5197541557799068,25.145380843244876,25.54778902143406,0.023629789865401558,5.966405051846275e-08,-1.095890543747105e-05,-0.0003446285462504689,0.006945531525544847,24.651874997203507,-0.008946690306399644,1.1826562892890103e-08,1.1199146190564369e-08,0.021864201102305796,87.41074588205832,299.61285400390625,0.002044928509108223,3.447998341376156e-15,8.995383475091409e-06,6.485997676849365
10,135.0,3.97870057876374,-0.03883356212811674,-0.001508045547558303,-0.6201159367705101,0.07766712425623348,4.255368421654756,4.715924555161816,0.014590942156410805,0.06880978239836343,0.12315820672226226,-0.8857692180823579,3.97870057876374,4.715924555161816,0.02538703496201932,-1.2723576922582753e-07,1.7590386942004794e-05,-0.003259121785517007,0.02147943655708394,4.606170092256458,-0.021096989040586333,2.4926176015234514e-08,2.5933256752517815e-08,0.021470773290462153,90.0,299.30621337890625,0.002098977596853888,2.861879119662614e-15,6.7263383305752914e-06,6.939849853515625
11,100.0,1.060062826666077,0.0035554315497745635,-1.2641093505132358e-05,-0.009617338744585549,-0.007110863099549128,1.1696826240829967,1.1495358651806835,0.017160728712406124,0.019726873127546774,0.015032451690698936,-0.137992546519607,1.060062826666077,1.1495358651806835,0.033487056314301614,-1.6465327660421508e-08,-4.6521108458441125e-06,-0.0039266446177625295,0.007308058742339459,1.1614093199226756,-0.05853205272848637,7.517751990739784e-08,7.491117834049527e-08,0.022354449379171398,92.05671765275719,300.0097961425781,0.003938311249655488,6.563890015664271e-15,8.575583498097191e-06,9.240466117858887
12,80.0,0.5001890202791549,-0.02425141756517788,-0.0005881312539206183,-0.09172889298944864,0.04850283513035576,0.5459933923044522,0.5573228151272206,0.02085936581336948,0.011625400476875587,0.07853730230617634,-0.18455589500555802,0.5001890202791549,0.5573228151272206,0.048884797851315984,-2.910369883427804e-07,4.319745362804519e-05,-0.009717896917881875,0.05191110876216677,0.5734710897515967,-0.07966362061857475,9.950567336042179e-08,1.019788039170106e-07,0.02235944281413733,93.69042655519807,299.85296630859375,0.0035369335738881813,5.678154622900113e-15,1.0428529028284083e-05,13.461156845092773
13,80.0,0.14660913568560957,-0.029000241351963402,-0.0008410139984721285,-0.131075968074894,0.05800048270392681,0.1856614266657562,0.23290806860265953,0.021631667527946968,0.005038189904588995,0.0863235730101555,-0.2185031397275592,0.14660913568560957,0.23290806860265953,0.04588063380035374,-7.027758503784047e-07,6.715038237171478e-05,-0.020563859462958252,0.07615389115728124,0.19691710369179613,-0.10668030637435681,1.2872262747036222e-07,1.325671055259458e-07,0.02170514160023723,94.98812766372727,299.354248046875,0.002650654007444286,3.2628208684985637e-15,1.0190963502282028e-05,12.550073623657227
14,47.0,0.07419495275048932,-0.03760995672269755,-0.0014145088446831822,-0.15192707667288655,0.0752199134453951,0.09305289840829853,0.14167433671822174,0.025839447216664913,0.003660786545586502,0.10382885053316424,-0.23200125115430087,0.07419495275048932,0.14167433671822174,0.06069301665340421,-1.364279240359995e-06,0.00011270336378612034,-0.035520574507211036,0.11694079271773827,0.10046797818786975,-0.13593824756987585,1.6511026033432667e-07,1.715627270748393e-07,0.022044100264997094,96.01892829446503,299.63970947265625,0.0026180294163904772,2.7388975464334163e-15,1.2556481870948967e-05,16.665231704711914
15,41.0,0.08122281226597496,-0.01796882089535296,-0.0003228785243692731,-0.08506585846039563,0.03593764179070592,0.08452130349824843,0.11543138593166294,0.01662227994880933,0.0019187328118351525,0.03910140039440886,-0.0967806728755223,0.08122281226597496,0.11543138593166294,0.023470698815425465,-9.647537902968293e-07,6.0513208717644955e-05,-0.019420423838950714,0.050395090692178124,0.0876426766802434,-0.1556948140770126,1.893410473635537e-07,1.9280553549855993e-07,0.021629996788561475,96.83772233983163,299.507080078125,0.00279815781250717,3.141992782546957e-15,7.776846058501593e-06,6.433237075805664
16,39.0,0.030768895449988537,-0.04147028435597276,-0.0017197844845652395,-0.1733243619011058,0.08294056871194554,0.051352919221204225,0.11138452585361677,0.02885767283531286,0.0032142982060001197,0.10364896044560766,-0.23713483622975273,0.030768895449988537,0.11138452585361677,0.052870245380516816,-3.125257816422511e-06,0.000176096260380002,-0.07873432309820988,0.17150065257063188,0.05589255649195395,-0.20066328296418737,2.330277261473597e-07,2.4310954824263376e-07,0.021161439482443638,97.48811356849042,298.92529296875,0.0044849818205199956,3.0350731956885344e-15,1.2922654075646663e-05,14.379280090332031
17,24.0,0.01964270805491665,-0.05054995655866294,-0.002555298108082711,-0.201886471769152,0.10109991311732588,0.03336435439602904,0.09394024469583608,0.03909351234444494,0.0036724541156568464,0.12777996639883896,-0.27475900921662133,0.01964270805491665,0.09394024469583608,0.07268150617686295,-4.588873690956135e-06,0.00024100176851864758,-0.12336938525267398,0.24523142314247925,0.03701165354552859,-0.23396026798514116,2.5915551646524146e-07,2.7295329359922636e-07,0.020377801744366864,98.00473768503112,298.14794921875,0.005142045407189661,2.4857611939818245e-15,1.6233768803633902e-05,19.562591552734375
